edge_id,anchor_char,derived_char,added_component,anchor_role,added_component_role,phonophore_root,recursive_depth,family_id_root,family_id_immediate,edge_structure_pattern,layout,edge_status,edge_confidence,edge_dispute_flag,source_reference,anchor_in_population,anchor_char_raw,phonophore_root_raw,added_component_raw,edge_structure_pattern_raw,anchor_char_normalized,added_component_normalized,edge_structure_pattern_normalized,normalization_applied,normalization_map_id,normalization_rule_category,normalization_confidence,normalization_notes,phonophore_root_normalized,normalization_collapse_group,normalization_collapse_flag
EDGE-00001,一,戌,戊,phonophore_and_semantic,structural_remainder_presumed_semantic,一,1,ROOT-4E00,IMM-4E00,⿵戊一,surround-from-above,eligible_direct,medium,True,CJKVI ids-analysis: 一亦聲,True,一,一,戊,⿵戊一,一,戊,⿵戊一,False,,,not_applicable,No accepted mapping applied.,一,COLLAPSE-00091,False
EDGE-00002,戌,歲,步,phonophore,structural_remainder_presumed_semantic,一,2,ROOT-4E00,IMM-620C,⿻步戌,overlay,eligible_direct,high,False,CJKVI ids-analysis: 戌聲,True,戌,一,步,⿻步戌,戌,步,⿻步戌,False,,,not_applicable,No accepted mapping applied.,一,COLLAPSE-03062,False
EDGE-00003,歲,劌,刂,phonophore,structural_remainder_presumed_semantic,一,3,ROOT-4E00,IMM-6B72,⿰歲刂,left-right,eligible_direct,high,False,CJKVI ids-analysis: 歲聲,True,歲,一,刂,⿰歲刂,歲,刂,⿰歲刂,False,,,not_applicable,No accepted mapping applied.,一,COLLAPSE-03791,False
EDGE-00004,歲,噦,口,phonophore,structural_remainder_presumed_semantic,一,3,ROOT-4E00,IMM-6B72,⿰口歲,left-right,eligible_direct,high,False,CJKVI ids-analysis: 歲聲,True,歲,一,口,⿰口歲,歲,口,⿰口歲,False,,,not_applicable,No accepted mapping applied.,一,COLLAPSE-03792,False
EDGE-00005,歲,濊,氵,phonophore,structural_remainder_presumed_semantic,一,3,ROOT-4E00,IMM-6B72,⿰氵歲,left-right,eligible_direct,high,False,CJKVI ids-analysis: 歲聲,True,歲,一,氵,⿰氵歲,歲,氵,⿰氵歲,False,,,not_applicable,No accepted mapping applied.,一,COLLAPSE-03793,False
EDGE-00006,歲,穢,禾,phonophore,structural_remainder_presumed_semantic,一,3,ROOT-4E00,IMM-6B72,⿰禾歲,left-right,eligible_direct,high,False,CJKVI ids-analysis: 歲聲,True,歲,一,禾,⿰禾歲,歲,禾,⿰禾歲,False,,,not_applicable,No accepted mapping applied.,一,COLLAPSE-03794,False
EDGE-00007,歲,翽,羽,phonophore,structural_remainder_presumed_semantic,一,3,ROOT-4E00,IMM-6B72,⿰歲羽,left-right,eligible_direct,high,False,CJKVI ids-analysis: 歲聲,True,歲,一,羽,⿰歲羽,歲,羽,⿰歲羽,False,,,not_applicable,No accepted mapping applied.,一,COLLAPSE-03795,False
EDGE-00008,歲,薉,艹,phonophore,structural_remainder_presumed_semantic,一,3,ROOT-4E00,IMM-6B72,⿱艹歲,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 歲聲,True,歲,一,艹,⿱艹歲,歲,艹,⿱艹歲,False,,,not_applicable,No accepted mapping applied.,一,COLLAPSE-03796,False
EDGE-00009,丁,亭,高,phonophore,structural_remainder_presumed_semantic,丁,1,ROOT-4E01,IMM-4E01,⿱高丁,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 丁聲,True,丁,丁,高,⿱高丁,丁,高,⿱高丁,False,,,not_applicable,No accepted mapping applied.,丁,COLLAPSE-00092,False
EDGE-00010,亭,停,亻,phonophore,structural_remainder_presumed_semantic,丁,2,ROOT-4E01,IMM-4EAD,⿰亻亭,left-right,eligible_direct,high,False,CJKVI ids-analysis: 亭聲,True,亭,丁,亻,⿰亻亭,亭,亻,⿰亻亭,False,,,not_applicable,No accepted mapping applied.,丁,COLLAPSE-00404,False
