model,channel,status,problems,eligible_rows,dimension,completed_rows,max_E_norm_unit_error,metadata_sha256,index_sha256,E_raw_sha256,E_norm_sha256,completed_sha256,cache_path
qwen3_0.6b_1024d,zh_char,PASS,,11151,1024,11151,1.1920928955078125e-07,f2555c37a7d0468f19bbab03924fb8d85d45ae5bd9842f85ed295795ec57a410,e4885bda7d6a75957b2439379f934e9438a418f4b41f13b1e8cf394e77d87d40,524aa4285d9028e0a06a6b22160d52a5057964e4f8a234d6cb1dddf8b575ebb7,40734cac54107558d1f979866777b4fa64c8a7c203f091736190c5337fe77e02,097c250b05b476f5f594b82802fef44a020c3e151db19545bc9d1115c6c6f571,/content/embedding_caches/qwen3_0.6b_1024d/zh_char
qwen3_0.6b_1024d,en_gloss_unihan,PASS,,9153,1024,9153,1.1920928955078125e-07,abb7c1ac160219dc09afd55719b062a88ba4874a2ddb44808e263a2d23f5a635,170587eee233ab466d2c1d713335d9ce4818787bde14be8643a8e5385bde8056,75013fead1bd01a1c309cf41e259af0d8c7c67b73485cfa7ac5546f17f986409,72ef835c1caf3a608dbd11dec821317523646b4ae050f080222f9c2062c10d9e,958ecb01618670b71eed5e1096c29e27a8ea07e8abd7183177a3f4d4d06dc63d,/content/embedding_caches/qwen3_0.6b_1024d/en_gloss_unihan
qwen3_0.6b_1024d,cn_def,PASS,,6040,1024,6040,1.1920928955078125e-07,de3b5fab6236e75a0b8706069cd4a7f74a119eea90374021f75a9cbc4a3e3e7e,33343cf59ca749642fc2005d7c38d787c56925f52b31a927544ecadd132cdaa2,d1f63f4279020557e1849069a34324ceafee11c1504ad18dc27bbeff6029b68f,ae5f2ad7a0d86c78019dbd0c0b3f9f7175627b440a27705953cec209b68a7aa9,88ead23290cd3da4c9a57684a8e214c8eddd7be4b1e355b3d368b4fd811e7734,/content/embedding_caches/qwen3_0.6b_1024d/cn_def
qwen3_0.6b_1024d,en_def_translated_cn_def,PASS,,6040,1024,6040,1.1920928955078125e-07,376367c529917c9c18510046974fc09759f710b6ba38a113132cb2f03b0e5cae,835fa98480e2983052fd81612ee8bb57e08c340bf9e61be16751c1aa97cb009c,13b8164e298c60cacbcc4cff888e632ce828aa517b3faa2e958f29ea201a0edf,7aa82343947909ff3d2ffd37ff6512056c60ddbf2c7fa554cb8d4d8c0c95d840,88ead23290cd3da4c9a57684a8e214c8eddd7be4b1e355b3d368b4fd811e7734,/content/embedding_caches/qwen3_0.6b_1024d/en_def_translated_cn_def
bge_m3_1024d,zh_char,PASS,,11151,1024,11151,1.1920928955078125e-07,8a40592e1e0b905a1ec4aa9d269b963dd314bbf8872b8479462313eaae9ded63,e4885bda7d6a75957b2439379f934e9438a418f4b41f13b1e8cf394e77d87d40,bcd86e00d4323e3f41b804b87c67383c889d8ba6a0a5186fd359b514460d0b86,f61ca0365b5c3a1360b4c407785a408d4feed0f766111b7c1c7a3c45b297a68b,097c250b05b476f5f594b82802fef44a020c3e151db19545bc9d1115c6c6f571,/content/embedding_caches/bge_m3_1024d/zh_char
bge_m3_1024d,en_gloss_unihan,PASS,,9153,1024,9153,1.1920928955078125e-07,319c27fc73c124e82699ee42fe9932506ad5eaa24590e7b9fe583c906d899172,170587eee233ab466d2c1d713335d9ce4818787bde14be8643a8e5385bde8056,fa281769e13566e2850e0fd36fec602dbcdeb089525c7538ffe36a03599d4819,5d47a3ba25bc522af62607fef1cb285f632a411bbfac0b5bcd4a68a7e38d9d1e,958ecb01618670b71eed5e1096c29e27a8ea07e8abd7183177a3f4d4d06dc63d,/content/embedding_caches/bge_m3_1024d/en_gloss_unihan
bge_m3_1024d,cn_def,PASS,,6040,1024,6040,1.1920928955078125e-07,32a145d011154800ad8da2c95daf73dfa2f1035d62827a2072bffc3c28ba3cb7,33343cf59ca749642fc2005d7c38d787c56925f52b31a927544ecadd132cdaa2,047bfefd607b7f0f77e7a7f25469219d5fbfa65d086e21105c3f2dd2394e4507,bc0ab216c76c86805814ddad8aac2aafbd1cfa4f281fc349fbf5901191af9790,88ead23290cd3da4c9a57684a8e214c8eddd7be4b1e355b3d368b4fd811e7734,/content/embedding_caches/bge_m3_1024d/cn_def
bge_m3_1024d,en_def_translated_cn_def,PASS,,6040,1024,6040,1.1920928955078125e-07,2cbb14f1ed66cc537a0e13dab4c7d8b352640306fbeac3d802cfa173ad19c7e4,835fa98480e2983052fd81612ee8bb57e08c340bf9e61be16751c1aa97cb009c,7c0d5f3593b2031e26f69e89afe2ec248c13b626b71164965608e62278bd8bfe,c4347dff7fe21d1b710b752e90deb615e58c45af98b8ba4ee04cc76d6128e196,88ead23290cd3da4c9a57684a8e214c8eddd7be4b1e355b3d368b4fd811e7734,/content/embedding_caches/bge_m3_1024d/en_def_translated_cn_def
gte_multilingual_base_768d,zh_char,PASS,,11151,768,11151,1.1920928955078125e-07,0a309168692d56f989d9756f4e353a7530679926883cd5a3023ce24cf4c8de92,e4885bda7d6a75957b2439379f934e9438a418f4b41f13b1e8cf394e77d87d40,4568d5028b69c1daaf8aa5195a0e9e1c14f4b33b920a8ad77e68093491adc832,b82b36d432634f8b57168d662162bc86d02b2499b197dd2430a571bcc1eb4323,097c250b05b476f5f594b82802fef44a020c3e151db19545bc9d1115c6c6f571,/content/embedding_caches/gte_multilingual_base_768d/zh_char
gte_multilingual_base_768d,en_gloss_unihan,PASS,,9153,768,9153,1.1920928955078125e-07,1be21943f95b9b02c1a6434b909a583b2ed135d1c73a6f132fdfc3710532cdcb,170587eee233ab466d2c1d713335d9ce4818787bde14be8643a8e5385bde8056,725988ae3fcb2cc910c73c535238f20baa105cc289d5398bc98f5403a47f24f5,ffd487ad6fc1fb51ab8581b9c11a6ecb1b34194299f88e8fa30411fa16a90c6c,958ecb01618670b71eed5e1096c29e27a8ea07e8abd7183177a3f4d4d06dc63d,/content/embedding_caches/gte_multilingual_base_768d/en_gloss_unihan
