model,channel,anchor_family,n_edges,ordinary_whole_vector_coherence,residual_family_coherence,mean_residual_to_anchor_cosine,residual_coherence_improvement
bge_m3_1024d,cn_def,ROOT-20000,25,0.5101537704467773,0.5416849851608276,0.5542736077308654,0.0315312147140502
bge_m3_1024d,cn_def,ROOT-200A4,3,0.6743901371955872,0.6701571345329285,0.6004008253415426,-0.0042330026626586
bge_m3_1024d,cn_def,ROOT-2053E,2,0.5366115570068359,0.5883049964904785,0.5334078669548035,0.0516934394836425
bge_m3_1024d,cn_def,ROOT-20CCB,2,0.4262012243270874,0.4623496532440185,0.5429633408784866,0.0361484289169311
bge_m3_1024d,cn_def,ROOT-2123C,12,0.4845063686370849,0.5167464017868042,0.4729293410976727,0.0322400331497192
bge_m3_1024d,cn_def,ROOT-219CD,8,0.4783665835857391,0.5038450956344604,0.546104796230793,0.0254785120487213
bge_m3_1024d,cn_def,ROOT-21C55,2,0.5516407489776611,0.5476200580596924,0.4423714876174927,-0.0040206909179687
bge_m3_1024d,cn_def,ROOT-233DF,6,0.4904812574386596,0.5033932328224182,0.3712845295667648,0.0129119753837585
bge_m3_1024d,cn_def,ROOT-2394F,14,0.5261761546134949,0.5377331972122192,0.5478965938091278,0.0115570425987243
bge_m3_1024d,cn_def,ROOT-239BC,2,0.7942608594894409,0.7256420850753784,0.6686044931411743,-0.0686187744140625
bge_m3_1024d,cn_def,ROOT-271A3,12,0.4754654765129089,0.4957548677921295,0.5275652880469958,0.0202893912792205
bge_m3_1024d,cn_def,ROOT-342D,3,0.6203340888023376,0.6393831372261047,0.5559358795483907,0.019049048423767
bge_m3_1024d,cn_def,ROOT-34B8,4,0.5510910153388977,0.5483026504516602,0.5118787288665771,-0.0027883648872375
bge_m3_1024d,cn_def,ROOT-34DE,4,0.5492240786552429,0.5937338471412659,0.6073540449142456,0.0445097684860229
bge_m3_1024d,cn_def,ROOT-3563,9,0.5445267558097839,0.544992983341217,0.5594146384133233,0.0004662275314331
bge_m3_1024d,cn_def,ROOT-37A2,12,0.5660209655761719,0.5772784948348999,0.5123413602511088,0.011257529258728
bge_m3_1024d,cn_def,ROOT-382F,16,0.4763252139091491,0.5013793706893921,0.4951830245554447,0.0250541567802429
bge_m3_1024d,cn_def,ROOT-3840,5,0.5228333473205566,0.4808632731437683,0.5798041343688964,-0.0419700741767883
bge_m3_1024d,cn_def,ROOT-4020,3,0.5880007147789001,0.5869625210762024,0.5633091032505035,-0.0010381937026977
bge_m3_1024d,cn_def,ROOT-41C2,10,0.5614953637123108,0.5500475168228149,0.59179767370224,-0.0114478468894958
bge_m3_1024d,cn_def,ROOT-4E00,2,0.6533708572387695,0.6352686882019043,0.5603426694869995,-0.0181021690368652
bge_m3_1024d,cn_def,ROOT-4E01,13,0.5089897513389587,0.5444798469543457,0.4863259333830613,0.0354900956153869
bge_m3_1024d,cn_def,ROOT-4E03,2,0.5897858142852783,0.6547122001647949,0.5271958708763123,0.0649263858795166
bge_m3_1024d,cn_def,ROOT-4E08,2,0.4980782270431518,0.5482759475708008,0.5458499491214752,0.0501977205276489
bge_m3_1024d,cn_def,ROOT-4E0D,4,0.4418561458587646,0.4468564093112945,0.472657635807991,0.0050002634525299
bge_m3_1024d,cn_def,ROOT-4E11,3,0.5116508603096008,0.5018664002418518,0.5455036759376526,-0.009784460067749
bge_m3_1024d,cn_def,ROOT-4E14,18,0.4695104360580444,0.5059570074081421,0.5255718247758018,0.0364465713500976
bge_m3_1024d,cn_def,ROOT-4E18,2,0.4956724643707275,0.5211712121963501,0.6626434624195099,0.0254987478256225
bge_m3_1024d,cn_def,ROOT-4E19,3,0.4941776692867279,0.5504825711250305,0.4764804641405741,0.0563049018383026
bge_m3_1024d,cn_def,ROOT-4E1E,2,0.5825455188751221,0.5763356685638428,0.7497947812080383,-0.0062098503112792
bge_m3_1024d,cn_def,ROOT-4E2D,6,0.5179868340492249,0.4990901947021484,0.5099085321029028,-0.0188966393470764
bge_m3_1024d,cn_def,ROOT-4E30,4,0.5015227198600769,0.5526207089424133,0.5453308820724487,0.0510979890823364
bge_m3_1024d,cn_def,ROOT-4E36,6,0.5146118402481079,0.5450670123100281,0.5438231329123179,0.0304551720619201
bge_m3_1024d,cn_def,ROOT-4E3F,13,0.5245216488838196,0.5522760152816772,0.5861993179871485,0.0277543663978576
bge_m3_1024d,cn_def,ROOT-4E42,2,0.5532619953155518,0.6370923519134521,0.6514237821102142,0.0838303565979003
bge_m3_1024d,cn_def,ROOT-4E43,3,0.603101909160614,0.5624272227287292,0.5500314037005106,-0.0406746864318847
bge_m3_1024d,cn_def,ROOT-4E45,3,0.4965189397335052,0.5094535946846008,0.5692311724026998,0.0129346549510955
bge_m3_1024d,cn_def,ROOT-4E4D,11,0.513569712638855,0.5400794148445129,0.5450829375873912,0.0265097022056579
bge_m3_1024d,cn_def,ROOT-4E4F,5,0.511918306350708,0.5456350445747375,0.5990971326828003,0.0337167382240295
bge_m3_1024d,cn_def,ROOT-4E59,4,0.5647923946380615,0.56194669008255,0.4674713462591171,-0.0028457045555114
bge_m3_1024d,cn_def,ROOT-4E5D,7,0.4996281266212463,0.5296820402145386,0.4887505599430629,0.0300539135932922
bge_m3_1024d,cn_def,ROOT-4E5F,6,0.5384814739227295,0.511930525302887,0.5384363085031509,-0.0265509486198425
bge_m3_1024d,cn_def,ROOT-4E88,6,0.5500615835189819,0.5469083189964294,0.5436375985542933,-0.0031532645225524
bge_m3_1024d,cn_def,ROOT-4E8C,8,0.5227804183959961,0.5234482884407043,0.5556127801537514,0.0006678700447082
bge_m3_1024d,cn_def,ROOT-4E8E,8,0.5773482918739319,0.58866947889328,0.5108174607157707,0.0113211870193481
bge_m3_1024d,cn_def,ROOT-4E8F,3,0.5395414233207703,0.6010937690734863,0.5527973075707754,0.061552345752716
bge_m3_1024d,cn_def,ROOT-4E91,6,0.5588124394416809,0.5624567866325378,0.5668204128742218,0.0036443471908569
bge_m3_1024d,cn_def,ROOT-4E94,12,0.490145593881607,0.4932107627391815,0.5289924492438635,0.0030651688575744
bge_m3_1024d,cn_def,ROOT-4E9E,4,0.4650594294071197,0.4839599132537842,0.516726940870285,0.0189004838466644
bge_m3_1024d,cn_def,ROOT-4E9F,2,0.5597530603408813,0.5722489356994629,0.6637822389602661,0.0124958753585815
bge_m3_1024d,cn_def,ROOT-4EA1,3,0.4462541043758392,0.5068003535270691,0.5150941610336304,0.0605462491512298
bge_m3_1024d,cn_def,ROOT-4EA2,10,0.4610197246074676,0.4711856842041015,0.5461882144212723,0.0101659595966339
bge_m3_1024d,cn_def,ROOT-4EA4,15,0.5083428025245667,0.5441258549690247,0.5337176342805227,0.035783052444458
bge_m3_1024d,cn_def,ROOT-4EA5,12,0.523773193359375,0.5341947674751282,0.4698428784807523,0.0104215741157531
bge_m3_1024d,cn_def,ROOT-4EAC,8,0.5211727023124695,0.5365935564041138,0.5412982702255249,0.0154208540916442
bge_m3_1024d,cn_def,ROOT-4EBA,3,0.4694965779781341,0.4760136604309082,0.5339279174804688,0.006517082452774
bge_m3_1024d,cn_def,ROOT-4ECA,18,0.5106151103973389,0.5366038680076599,0.5468222995599111,0.025988757610321
bge_m3_1024d,cn_def,ROOT-4ECB,3,0.4284232556819916,0.467862457036972,0.5746800104777018,0.0394392013549804
bge_m3_1024d,cn_def,ROOT-4EE4,15,0.4800919890403747,0.5098618865013123,0.4913192252318064,0.0297698974609375
bge_m3_1024d,cn_def,ROOT-4EE5,2,0.4868764877319336,0.5304965972900391,0.6416405439376831,0.0436201095581054
bge_m3_1024d,cn_def,ROOT-4F0F,2,0.3657865524291992,0.4192241430282593,0.5054114311933517,0.05343759059906
bge_m3_1024d,cn_def,ROOT-4F10,2,0.4185894727706909,0.4186310768127441,0.454823762178421,4.1604042053222656e-05
bge_m3_1024d,cn_def,ROOT-4F59,10,0.5416961908340454,0.532417356967926,0.5070811241865159,-0.0092788338661193
bge_m3_1024d,cn_def,ROOT-4F86,3,0.4868527948856354,0.5619058609008789,0.6160904765129089,0.0750530660152435
bge_m3_1024d,cn_def,ROOT-4F96,7,0.493054062128067,0.5468882322311401,0.625096150806972,0.0538341701030731
bge_m3_1024d,cn_def,ROOT-4FDD,3,0.5065383911132812,0.5356042981147766,0.5503497123718262,0.0290659070014953
bge_m3_1024d,cn_def,ROOT-5009,10,0.5325798988342285,0.5662118792533875,0.5289947539567947,0.0336319804191589
bge_m3_1024d,cn_def,ROOT-50C9,11,0.5474696159362793,0.5510812997817993,0.5633269548416138,0.00361168384552
bge_m3_1024d,cn_def,ROOT-5140,3,0.3713644444942474,0.357907623052597,0.4653409719467163,-0.0134568214416503
bge_m3_1024d,cn_def,ROOT-5143,10,0.503474771976471,0.5131862759590149,0.5725327998399734,0.0097115039825439
bge_m3_1024d,cn_def,ROOT-5145,2,0.4545331001281738,0.5177364349365234,0.5638939142227173,0.0632033348083496
bge_m3_1024d,cn_def,ROOT-5146,10,0.5058705806732178,0.5104421973228455,0.4138290554285049,0.0045716166496276
bge_m3_1024d,cn_def,ROOT-5148,2,0.4452345371246338,0.4817088842391968,0.49757881462574,0.0364743471145629
bge_m3_1024d,cn_def,ROOT-5149,4,0.5582197308540344,0.5907857418060303,0.5644295513629913,0.0325660109519958
