model,channel,edge_row,root_family_id,p_anchor,s_component_canonical,s_independent_character,derived_character,heldout_case_id,n_other_edges,n_other_distinct_s_contexts,baseline_predicted_character,baseline_true_rank,baseline_true_cosine,offset_predicted_character,offset_true_rank,offset_true_cosine,candidate_count,support_threshold,baseline_top1,baseline_top5,baseline_top10,baseline_reciprocal_rank,baseline_percentile_rank,offset_top1,offset_top5,offset_top10,offset_reciprocal_rank,offset_percentile_rank,rank_change,top1_rescued,top1_lost,top5_rescued,top5_lost,top10_rescued,top10_lost
bge_m3_1024d,cn_def,EDGE-00063,ROOT-219CD,賓,亻,人,儐,bge_m3_1024d__cn_def__EDGE-00063,8,8,工,2090,0.4633696973323822,工,326,0.5051401853561401,6039,3,0,0,0,0.0004784688995215,0.6540245114276251,0,0,0,0.0030674846625766,0.9461742298774428,1764,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00064,ROOT-219CD,賓,女,女,嬪,bge_m3_1024d__cn_def__EDGE-00064,8,8,男,4874,0.4721231758594513,男,4287,0.4395303130149841,6039,3,0,0,0,0.0002051702913418,0.1929446836700894,0,0,0,0.000233263354327,0.2901623053991388,587,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00065,ROOT-219CD,賓,扌,手,擯,bge_m3_1024d__cn_def__EDGE-00065,8,8,軀,5064,0.4871446490287781,胸,5058,0.4531190097332001,6039,3,0,0,0,0.0001974723538704,0.1614773103676714,0,0,0,0.0001977066034005,0.1624710168930109,6,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00066,ROOT-219CD,賓,木,木,檳,bge_m3_1024d__cn_def__EDGE-00066,8,8,艾,225,0.5135442018508911,艾,179,0.4938808977603912,6039,3,0,0,0,0.0044444444444444,0.9629016230539914,0,0,0,0.0055865921787709,0.9705200397482612,46,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00067,ROOT-219CD,賓,歹,歹,殯,bge_m3_1024d__cn_def__EDGE-00067,8,8,孬,4655,0.4597752094268799,孬,3896,0.4495328664779663,6039,3,0,0,0,0.0002148227712137,0.2292149718449817,0,0,0,0.0002566735112936,0.3549188473004305,759,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00068,ROOT-219CD,賓,氵,水,濱,bge_m3_1024d__cn_def__EDGE-00068,8,8,礬,658,0.5566616058349609,礬,777,0.507094144821167,6039,3,0,0,0,0.0015197568389057,0.891189135475323,0,0,0,0.0012870012870012,0.8714806227227558,-119,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00070,ROOT-219CD,賓,糸,糸,繽,bge_m3_1024d__cn_def__EDGE-00070,8,8,緬,1695,0.5726884603500366,緬,2131,0.5222841501235962,6039,3,0,0,0,0.0005899705014749,0.7194435243458099,0,0,0,0.000469263256687,0.6472341835044717,-436,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00072,ROOT-219CD,賓,髟,髟,鬢,bge_m3_1024d__cn_def__EDGE-00072,8,8,埤,85,0.647864043712616,惘,152,0.5958074927330017,6039,3,0,0,0,0.0117647058823529,0.9860881086452468,0,0,0,0.006578947368421,0.9749917191122888,-67,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00479,ROOT-4EA5,亥,刂,刀,刻,bge_m3_1024d__cn_def__EDGE-00479,11,11,斧,424,0.583770751953125,斧,521,0.5901075601577759,6039,3,0,0,0,0.0023584905660377,0.929943689963564,0,0,0,0.0019193857965451,0.9138787678039084,-97,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00480,ROOT-4EA5,亥,力,力,劾,bge_m3_1024d__cn_def__EDGE-00480,11,11,搬,1362,0.4631125330924988,搬,1453,0.4785667359828949,6039,3,0,0,0,0.000734214390602,0.774594236502153,0,0,0,0.0006882312456985,0.7595230208678371,-91,0,0,0,0,0,0
