model,channel,edge_row,root_family_id,p_anchor,s_component_canonical,s_independent_character,derived_character,heldout_case_id,n_other_edges,n_other_distinct_s_contexts,baseline_predicted_character,baseline_true_rank,baseline_true_cosine,offset_predicted_character,offset_true_rank,offset_true_cosine,candidate_count,support_threshold,baseline_top1,baseline_top5,baseline_top10,baseline_reciprocal_rank,baseline_percentile_rank,offset_top1,offset_top5,offset_top10,offset_reciprocal_rank,offset_percentile_rank,rank_change,top1_rescued,top1_lost,top5_rescued,top5_lost,top10_rescued,top10_lost
bge_m3_1024d,cn_def,EDGE-00001,ROOT-4E00,一,戊,戊,戌,bge_m3_1024d__cn_def__EDGE-00001,3,3,丁,15,0.6463456153869629,丁,16,0.5843551158905029,6039,3,0,0,0,0.0666666666666666,0.9976813514408744,0,0,0,0.0625,0.9975157336866513,-1,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00002,ROOT-4E00,戌,步,步,歲,bge_m3_1024d__cn_def__EDGE-00002,3,3,爬,2579,0.4204662144184112,蹐,2178,0.4212059676647186,6039,3,0,0,0,0.0003877471888328,0.5730374296124545,0,0,0,0.0004591368227731,0.6394501490559787,401,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00003,ROOT-4E00,歲,刂,刀,劌,bge_m3_1024d__cn_def__EDGE-00003,3,3,斧,96,0.6501060128211975,斧,30,0.6563563942909241,6039,3,0,0,0,0.0104166666666666,0.984266313348791,0,0,0,0.0333333333333333,0.9951970851275256,66,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00006,ROOT-4E00,歲,禾,禾,穢,bge_m3_1024d__cn_def__EDGE-00006,3,3,糧,2748,0.4352093338966369,糧,1546,0.4412950873374939,6039,3,0,0,0,0.0003639010189228,0.5450480291487247,0,0,0,0.000646830530401,0.7441205697250746,1202,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00009,ROOT-4E01,丁,高,高,亭,bge_m3_1024d__cn_def__EDGE-00009,13,12,桿,3189,0.5394033193588257,跟,2378,0.5588331818580627,6039,3,0,0,0,0.0003135779241141,0.4720105995362703,0,0,0,0.0004205214465937,0.6063265982113282,811,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00010,ROOT-4E01,亭,亻,人,停,bge_m3_1024d__cn_def__EDGE-00010,13,12,工,3711,0.4264324903488159,工,3995,0.4091942012310028,6039,3,0,0,0,0.0002694691457828,0.3855581318317324,0,0,0,0.0002503128911138,0.3385226896323285,-284,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00012,ROOT-4E01,丁,口,口,叮,bge_m3_1024d__cn_def__EDGE-00012,13,12,胃,846,0.5274620056152344,舌,1208,0.5059953331947327,6039,3,0,0,0,0.0011820330969267,0.8600529976813515,0,0,0,0.0008278145695364,0.8000993706525339,-362,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00013,ROOT-4E01,丁,戊,戊,成,bge_m3_1024d__cn_def__EDGE-00013,13,12,丁,3593,0.4192855656147003,丁,3009,0.4412720501422882,6039,3,0,0,0,0.0002783189535207,0.4051010268300762,0,0,0,0.0003323363243602,0.5018217952964558,584,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00014,ROOT-4E01,成,土,土,城,bge_m3_1024d__cn_def__EDGE-00014,13,12,泥,3779,0.4784485399723053,泥,1890,0.5149978995323181,6039,3,0,0,0,0.0002646202699126,0.3742961245445512,0,0,0,0.0005291005291005,0.6871480622722757,1889,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00016,ROOT-4E01,成,皿,皿,盛,bge_m3_1024d__cn_def__EDGE-00016,13,12,箱,5,0.8811584711074829,箱,3,0.8442550897598267,6039,3,0,1,1,0.2,0.999337528983107,0,1,1,0.3333333333333333,0.9996687644915536,2,0,0,0,0,0,0
bge_m3_1024d,cn_def,EDGE-00017,ROOT-4E01,成,言,言,誠,bge_m3_1024d__cn_def__EDGE-00017,12,12,講,657,0.6701054573059082,講,1013,0.632958173751831,6039,3,0,0,0,0.0015220700152207,0.8913547532295462,0,0,0,0.0009871668311944,0.8323948327260682,-356,0,0,0,0,0,0
