model,channel,support_threshold,n_heldout_cases,n_p_root_families,n_distinct_mapped_s_contexts,candidate_count,percent_rank_improved,percent_rank_worsened,percent_rank_tied,top1_rescues,top1_losses,top1_net,baseline_recall_at_1,baseline_recall_at_5,baseline_recall_at_10,baseline_mrr,baseline_median_rank,baseline_mean_rank,offset_recall_at_1,offset_recall_at_5,offset_recall_at_10,offset_mrr,offset_median_rank,offset_mean_rank,recall_at_1_gain,recall_at_5_gain,recall_at_10_gain,human_interpretation
bge_m3_1024d,cn_def,3,2398,320,177,6039,50.20850708924104,47.956630525437866,1.834862385321101,2,0,2,0.003336113427856547,0.0237698081734779,0.03669724770642202,0.017001961996723193,1163.5,1749.23352793995,0.004170141784820684,0.022101751459549623,0.03502919099249374,0.017390445882232847,1194.0,1726.4720600500416,0.0008340283569641367,-0.0016680567139282752,-0.0016680567139282787,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.33% using S alone and 0.42% after adding r_P."
bge_m3_1024d,cn_def,5,1804,185,164,6039,51.21951219512195,46.84035476718403,1.9401330376940134,2,0,2,0.003880266075388027,0.024390243902439025,0.037694013303769404,0.01720490888705397,1205.5,1765.5593126385809,0.004988913525498891,0.02383592017738359,0.03436807095343681,0.017916907023781993,1175.5,1730.9645232815965,0.0011086474501108643,-0.0005543237250554348,-0.0033259423503325947,
bge_m3_1024d,cn_def,8,1112,86,135,6039,52.42805755395683,45.50359712230216,2.068345323741007,2,0,2,0.002697841726618705,0.024280575539568347,0.03776978417266187,0.016304100830847264,1276.0,1794.7778776978416,0.0044964028776978415,0.02158273381294964,0.03327338129496403,0.017002217825815562,1215.0,1734.1223021582734,0.0017985611510791364,-0.0026978417266187056,-0.0044964028776978415,
bge_m3_1024d,en_def_translated_cn_def,3,2398,320,177,6039,49.9582985821518,48.54045037531276,1.5012510425354462,2,4,-2,0.005838198498748957,0.019599666388657216,0.03419516263552961,0.016484536612875033,1445.0,1949.7718932443704,0.0050041701417848205,0.0158465387823186,0.03252710592160134,0.015228485158177466,1420.0,1937.8073394495414,-0.0008340283569641367,-0.0037531276063386167,-0.0016680567139282718,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.58% using S alone and 0.50% after adding r_P."
bge_m3_1024d,en_def_translated_cn_def,5,1804,185,164,6039,51.108647450110865,47.28381374722838,1.6075388026607538,2,3,-1,0.006097560975609756,0.019401330376940133,0.03547671840354767,0.0166630950050169,1436.5,1971.2439024390244,0.005543237250554324,0.014966740576496674,0.03159645232815964,0.015576921730305797,1423.0,1944.8231707317073,-0.0005543237250554322,-0.004434589800443459,-0.0038802660753880294,
bge_m3_1024d,en_def_translated_cn_def,8,1112,86,135,6039,51.34892086330935,46.76258992805755,1.8884892086330936,0,2,-2,0.006294964028776978,0.01618705035971223,0.03237410071942446,0.015717848722676033,1388.0,1947.431654676259,0.0044964028776978415,0.012589928057553957,0.029676258992805755,0.01441841394301143,1414.0,1906.7275179856115,-0.0017985611510791368,-0.0035971223021582736,-0.0026978417266187056,
bge_m3_1024d,en_gloss_unihan,3,4186,448,211,9152,59.79455327281414,39.46488294314381,0.7405637840420449,18,5,13,0.003105590062111801,0.009077878643096034,0.016244624940277116,0.009492681737951484,1845.0,2729.00955566173,0.006211180124223602,0.027950310559006212,0.04300047778308648,0.020599770426076785,1608.5,2574.9875776397516,0.003105590062111801,0.018872431915910176,0.026755852842809364,"Across 4,186 held-out members of P families, the correct derived character was rank 1 in 0.31% using S alone and 0.62% after adding r_P."
bge_m3_1024d,en_gloss_unihan,5,3577,312,203,9152,60.83310036343305,38.300251607492314,0.8666480290746437,17,4,13,0.0033547665641599105,0.009225608051439753,0.015935141179759575,0.009710961074536817,1852.0,2750.743360357842,0.00698909700866648,0.0273972602739726,0.043052837573385516,0.02110544866526447,1582.0,2577.8353368744756,0.00363433044450657,0.01817165222253285,0.02711769639362594,
bge_m3_1024d,en_gloss_unihan,8,2667,181,190,9152,61.942257217847775,37.232845894263214,0.8248968878890138,14,3,11,0.0026246719160104987,0.008998875140607425,0.015748031496062992,0.009268638690071062,1885.0,2757.6329208848892,0.006749156355455568,0.028871391076115485,0.04461942257217848,0.021838241527852794,1575.0,2588.9377577802775,0.004124484439445069,0.01987251593550806,0.028871391076115485,
bge_m3_1024d,zh_char,3,4763,474,220,11150,68.4232626495906,30.925887045979422,0.650850304429981,7,9,-2,0.003779130799916019,0.014906571488557632,0.02435439848834768,0.011467300210754091,4672.0,4634.63762334663,0.003359227377703128,0.01217719924417384,0.018055847155154313,0.008625168119599578,5609.0,4976.595423052698,-0.00041990342221289107,-0.0027293722443837917,-0.006298551333193368,"Across 4,763 held-out members of P families, the correct derived character was rank 1 in 0.38% using S alone and 0.34% after adding r_P."
