model,channel,support_threshold,matched_n,candidate_count,p_side_baseline_recall_at_1,p_side_offset_recall_at_1,p_side_recall_at_1_gain,p_side_baseline_recall_at_5,p_side_offset_recall_at_5,p_side_recall_at_5_gain,p_side_baseline_recall_at_10,p_side_offset_recall_at_10,p_side_recall_at_10_gain,p_side_baseline_mrr,p_side_offset_mrr,p_side_baseline_median_rank,p_side_offset_median_rank,p_side_baseline_mean_rank,p_side_offset_mean_rank,p_side_percent_rank_improved,p_side_top1_rescues,p_side_top1_losses,s_side_baseline_recall_at_1,s_side_offset_recall_at_1,s_side_recall_at_1_gain,s_side_baseline_recall_at_5,s_side_offset_recall_at_5,s_side_recall_at_5_gain,s_side_baseline_recall_at_10,s_side_offset_recall_at_10,s_side_recall_at_10_gain,s_side_baseline_mrr,s_side_offset_mrr,s_side_baseline_median_rank,s_side_offset_median_rank,s_side_baseline_mean_rank,s_side_offset_mean_rank,s_side_percent_rank_improved,s_side_top1_rescues,s_side_top1_losses
bge_m3_1024d,cn_def,3,1933,6039,0.0031039834454216243,0.0036213140196585617,0.0005173305742369374,0.020693222969477496,0.01965856182100362,-0.0010346611484738748,0.03362648732540093,0.03207449560269012,-0.0015519917227108104,0.015551223039794117,0.01596536340538781,1150.0,1206.0,1750.6735644076564,1732.788411795137,50.54319710294879,1,0,0.0036213140196585617,0.0036213140196585617,0.0,0.008794619762027936,0.012933264355923435,0.004138644593895499,0.011381272633212623,0.02224521469218831,0.010863942058975687,0.007465846291505715,0.013420480795570802,2640.0,999.0,2751.2198654940507,1537.6228660113813,85.35954474909467,3,3
bge_m3_1024d,cn_def,5,1505,6039,0.0033222591362126247,0.003986710963455149,0.0006644518272425244,0.021926910299003323,0.021926910299003323,0.0,0.03521594684385382,0.03189368770764119,-0.0033222591362126255,0.01574406689889325,0.016511864139612604,1177.0,1179.0,1765.1621262458473,1732.3588039867109,51.561461794019934,1,0,0.00132890365448505,0.0026578073089701,0.00132890365448505,0.006644518272425249,0.0106312292358804,0.00398671096345515,0.009966777408637873,0.019933554817275746,0.009966777408637873,0.004921710265160731,0.011831548903534305,2679.0,1059.0,2787.622591362126,1562.3049833887044,85.64784053156146,3,1
bge_m3_1024d,cn_def,8,944,6039,0.0031779661016949155,0.00423728813559322,0.0010593220338983049,0.0211864406779661,0.019067796610169493,-0.002118644067796608,0.03283898305084746,0.03072033898305085,-0.0021186440677966115,0.015022530087280786,0.01573466918504317,1299.5,1237.5,1807.8273305084747,1747.4205508474577,52.86016949152542,1,0,0.00211864406779661,0.0031779661016949155,0.0010593220338983053,0.007415254237288136,0.012711864406779662,0.005296610169491526,0.009533898305084746,0.0211864406779661,0.011652542372881354,0.005433500710400031,0.012883549493674939,2711.0,1073.5,2800.9099576271187,1570.2139830508474,85.38135593220339,2,1
bge_m3_1024d,en_def_translated_cn_def,3,1933,6039,0.005690636316606311,0.0046559751681324365,-0.0010346611484738748,0.016554578375581996,0.012415933781686497,-0.004138644593895499,0.031039834454216243,0.028970512157268494,-0.0020693222969477496,0.01520962041251941,0.014062869961400062,1451.0,1429.0,1957.9658561821004,1948.6482152095189,50.439730988101395,2,4,0.002586652871184687,0.0031039834454216243,0.0005173305742369374,0.006725297465080186,0.00982928091050181,0.0031039834454216243,0.008277289187790998,0.01810657009829281,0.009829280910501812,0.00571161422308629,0.010452647625023268,2741.0,1208.0,2803.5012933264356,1772.0744956026901,83.13502327987584,2,1
bge_m3_1024d,en_def_translated_cn_def,5,1505,6039,0.005980066445182724,0.0053156146179402,-0.0006644518272425244,0.01727574750830565,0.011960132890365448,-0.0053156146179402005,0.03255813953488372,0.02724252491694352,-0.005315614617940199,0.015515859012812081,0.014574691350532869,1442.0,1434.0,1978.5521594684385,1956.2325581395348,51.29568106312292,2,3,0.000664451827242525,0.00132890365448505,0.000664451827242525,0.0053156146179402,0.007973421926910298,0.0026578073089700985,0.006644518272425249,0.015946843853820596,0.009302325581395347,0.0036055311849665242,0.008479170000557755,2758.0,1225.0,2850.091029900332,1801.5581395348838,82.92358803986711,1,0
bge_m3_1024d,en_def_translated_cn_def,8,944,6039,0.006355932203389831,0.00423728813559322,-0.0021186440677966106,0.013771186440677966,0.009533898305084746,-0.0042372881355932195,0.028601694915254237,0.024364406779661018,-0.0042372881355932195,0.014529289122230995,0.013108054888066437,1391.0,1419.5,1965.7754237288136,1920.7966101694915,51.90677966101694,0,2,0.001059322033898305,0.001059322033898305,0.0,0.006355932203389831,0.00847457627118644,0.0021186440677966097,0.007415254237288136,0.014830508474576272,0.007415254237288136,0.004019820224291314,0.008261344507524205,2756.5,1261.0,2862.387711864407,1801.9237288135594,82.20338983050848,0,0
bge_m3_1024d,en_gloss_unihan,3,3636,9152,0.0019251925192519251,0.0049504950495049506,0.003025302530253025,0.007425742574257425,0.02392739273927393,0.016501650165016504,0.013751375137513752,0.03905390539053905,0.0253025302530253,0.007856214866348729,0.018066140409598565,1892.0,1657.0,2773.371287128713,2623.136688668867,59.79097909790979,15,4,0.003025302530253025,0.0049504950495049506,0.0019251925192519254,0.006600660066006601,0.015676567656765675,0.009075907590759075,0.012376237623762377,0.02392739273927393,0.011551155115511552,0.0062779322278978655,0.01271737242654141,4174.0,1824.0,4234.753575357536,2663.1845434543457,87.1012101210121,7,0
bge_m3_1024d,en_gloss_unihan,5,3142,9152,0.0022278803309993636,0.0054105665181413114,0.003182686187141948,0.007956715467854869,0.0241884150222788,0.016231699554423933,0.014003819223424571,0.039783577339274345,0.025779758115849774,0.008252824009779978,0.018757548517692235,1888.0,1612.0,2786.830362826225,2620.3570973901974,60.821133036282625,14,4,0.0022278803309993636,0.004137492043284532,0.0019096117122851682,0.005092297899427116,0.014003819223424571,0.008911521323997456,0.010184595798854232,0.02196053469127944,0.011775938892425208,0.004994328113599282,0.011338578382302532,4228.5,1863.5,4284.592934436664,2697.169000636537,87.11012094207511,6,0
bge_m3_1024d,en_gloss_unihan,8,2377,9152,0.002103491796381994,0.005889777029869584,0.00378628523348759,0.008413967185527976,0.026083298275136727,0.01766933108960875,0.014724442574673959,0.041649137568363484,0.026924694993689526,0.008409575238216569,0.02009036179766975,1898.0,1592.0,2786.615902397981,2618.919646613378,61.92679848548591,12,3,0.002524190155658393,0.004206983592763988,0.0016827934371055953,0.005048380311316786,0.015145140933950358,0.010096760622633573,0.009676062263357174,0.020614219604543543,0.01093815734118637,0.005004072414802236,0.011534482634590925,4233.0,1891.0,4308.944888514935,2704.6785864535127,87.00042069835928,4,0
bge_m3_1024d,zh_char,3,4166,11150,0.0028804608737397984,0.003360537686029765,0.0004800768122899665,0.013682189150264042,0.011041766682669226,-0.002640422467594815,0.023043686989918388,0.01728276524243879,-0.005760921747479598,0.010369831109718619,0.008236513925547959,4687.0,5610.0,4648.119779164666,4988.816130580893,68.4829572731637,6,4,0.009121459433509362,0.010081613058089293,0.0009601536245799312,0.015602496399423908,0.017522803648583773,0.001920307249159866,0.02256361017762842,0.02112337974075852,-0.0014402304368698986,0.013766153182296076,0.014332880379599277,5024.5,5616.0,4973.741478636582,5034.181949111858,73.95583293326933,7,3
