model,relation_class,channels,mean_offset_consistency,mean_forward_mrr,mean_inverse_mrr
bge_m3_1024d,⺝,1,,,
bge_m3_1024d,㐬,4,,,
bge_m3_1024d,㐭,2,,,
bge_m3_1024d,㐺,1,,,
bge_m3_1024d,㔾,4,,,
bge_m3_1024d,㗊,2,,,
bge_m3_1024d,㝱,4,,,
bge_m3_1024d,㣺,4,,,
bge_m3_1024d,㫃,4,0.2583491938408709,0.005057181401129,0.005550753657382425
bge_m3_1024d,㹜,4,,,
bge_m3_1024d,㾜,4,,,
bge_m3_1024d,䀠,4,,,
bge_m3_1024d,䖵,4,-0.0524905828293413,0.0007146708764405501,0.0011925404505193
bge_m3_1024d,一,4,,,
bge_m3_1024d,丂,2,,,
bge_m3_1024d,与,2,,,
bge_m3_1024d,丠,1,,,
bge_m3_1024d,丮,1,,,
bge_m3_1024d,乑,4,,,
bge_m3_1024d,乙,4,,,
bge_m3_1024d,二,4,,,
bge_m3_1024d,云,2,,,
bge_m3_1024d,京,4,,,
bge_m3_1024d,人,4,,,
bge_m3_1024d,亻,4,0.08480824668971051,0.0275677622750202,0.05215336881027593
bge_m3_1024d,儿,4,,,
bge_m3_1024d,光,4,,,
bge_m3_1024d,兮,4,,,
bge_m3_1024d,共,4,,,
bge_m3_1024d,冂,4,,,
bge_m3_1024d,冃,4,,,
bge_m3_1024d,冖,4,,,
bge_m3_1024d,冥,1,,,
bge_m3_1024d,冫,4,0.18034322366404984,0.0021112384345883,0.0027107142976803
bge_m3_1024d,几,4,,,
bge_m3_1024d,刀,4,,,
bge_m3_1024d,刂,4,0.1927543030345063,0.01982113084970695,0.010426976078062875
bge_m3_1024d,力,4,0.13537541976098585,0.006961499665119025,0.0127786653445834
bge_m3_1024d,勹,4,,,
bge_m3_1024d,匕,4,,,
bge_m3_1024d,匚,4,0.13318572717253116,0.00230742978047595,0.0034217561614139002
bge_m3_1024d,匸,4,,,
bge_m3_1024d,十,4,,,
bge_m3_1024d,卂,4,,,
bge_m3_1024d,午,2,,,
bge_m3_1024d,半,4,,,
bge_m3_1024d,卜,4,,,
bge_m3_1024d,卩,4,,,
bge_m3_1024d,卵,4,,,
bge_m3_1024d,厂,4,-0.1203492575635512,0.0009521408963048,0.0464197290099431
bge_m3_1024d,厶,4,,,
bge_m3_1024d,去,2,,,
bge_m3_1024d,又,4,,,
bge_m3_1024d,口,4,0.20478999666583136,0.014143309914851375,0.026491180597610724
bge_m3_1024d,可,2,,,
bge_m3_1024d,吅,2,,,
bge_m3_1024d,向,4,,,
bge_m3_1024d,喜,4,,,
bge_m3_1024d,囗,4,0.1289567437319254,0.008390849550506575,0.007165726565327926
bge_m3_1024d,土,4,0.1727371899911102,0.026493429344193048,0.03858634019130205
bge_m3_1024d,士,1,,,
bge_m3_1024d,壬,4,,,
bge_m3_1024d,壴,4,,,
bge_m3_1024d,夂,4,,,
bge_m3_1024d,夊,1,,,
bge_m3_1024d,夕,4,,,
bge_m3_1024d,多,4,,,
bge_m3_1024d,大,4,0.10118835186585781,0.0648007502950177,0.064868952213696
bge_m3_1024d,夨,1,,,
bge_m3_1024d,夭,4,,,
bge_m3_1024d,夰,1,,,
bge_m3_1024d,夸,4,,,
bge_m3_1024d,奢,1,,,
bge_m3_1024d,女,4,0.1937965484501799,0.0078268342083847,0.02308005061257455
bge_m3_1024d,子,4,0.1332827568403445,0.02895273565814305,0.004078822954549325
bge_m3_1024d,學,4,,,
bge_m3_1024d,宀,4,0.09825166269034888,0.0021050298360778,0.01298397739003195
bge_m3_1024d,寸,4,,,
bge_m3_1024d,尢,4,,,
bge_m3_1024d,尸,4,0.03358215664158615,0.0034476447778846496,0.02975203971212022
bge_m3_1024d,尺,4,,,
bge_m3_1024d,履,4,,,
bge_m3_1024d,山,4,0.22589355646553316,0.022945256593810477,0.022968648472844674
bge_m3_1024d,屾,1,,,
bge_m3_1024d,工,4,,,
bge_m3_1024d,巫,2,,,
bge_m3_1024d,巾,4,0.1945967823655034,0.00366465847173825,0.017117172950323722
bge_m3_1024d,幺,4,,,
bge_m3_1024d,广,4,0.13734544591567965,0.028321262016821953,0.03683295007026352
bge_m3_1024d,庚,4,,,
bge_m3_1024d,廾,4,,,
bge_m3_1024d,弓,4,0.0986081738518471,0.000724120607453,0.0046419921278212746
bge_m3_1024d,彡,4,0.017282754881307448,0.011745612832428925,0.00967359300647215
bge_m3_1024d,彣,2,,,
bge_m3_1024d,彳,4,0.12604730409948578,0.017329469934818924,0.0399882497750872
bge_m3_1024d,微,4,,,
bge_m3_1024d,心,4,0.20489501237157937,0.024069649961116574,0.042195810749785
bge_m3_1024d,忄,4,0.2449467874620901,0.011892648408717375,0.0209578618186605
bge_m3_1024d,恣,4,,,
bge_m3_1024d,戈,4,0.10404600655998691,0.0017805560322497749,0.0041701798951512
bge_m3_1024d,戊,4,,,
bge_m3_1024d,戶,4,0.13456259702797974,0.00062871113215175,0.0071034342243065
bge_m3_1024d,手,4,0.19425294629542067,0.0048568038640932,0.007836917974451876
bge_m3_1024d,扌,4,0.20538522028496323,0.0178467264869412,0.0319764374385403
bge_m3_1024d,支,2,,,
bge_m3_1024d,攴,4,0.3959719451144338,0.0005753708942497,0.001476107102407
bge_m3_1024d,攵,4,0.0863010391590353,0.010637950970871874,0.028161482456867754
bge_m3_1024d,敕,4,,,
bge_m3_1024d,文,4,,,
bge_m3_1024d,斗,4,-0.0038070885464548754,0.000791529722408625,0.0035844966481922503
bge_m3_1024d,斤,4,0.07496090114582328,0.002273833909176825,0.0093135017115526
bge_m3_1024d,日,4,0.19847017407311315,0.031269294859494576,0.05027062878243587
bge_m3_1024d,旨,4,,,
bge_m3_1024d,是,4,,,
bge_m3_1024d,曰,4,,,
bge_m3_1024d,月,4,0.22082726136432027,0.01929507736366085,0.004760716266838674
bge_m3_1024d,木,4,0.2317599172030759,0.01177995751344085,0.0214119129003049
bge_m3_1024d,東,2,,,
bge_m3_1024d,林,4,-0.011693607216390477,0.04205911577816137,0.044013485911444425
bge_m3_1024d,欠,4,0.11500538601451327,0.021317353427177752,0.05152355277448417
bge_m3_1024d,止,4,,,
bge_m3_1024d,步,4,,,
bge_m3_1024d,歹,4,0.22686558155897962,0.0151313033023374,0.01839104003156445
bge_m3_1024d,死,4,,,
bge_m3_1024d,殳,4,,,
bge_m3_1024d,比,4,,,
bge_m3_1024d,毛,4,0.1358339896684305,0.0063500858986794,0.00673322860452795
bge_m3_1024d,民,4,,,
bge_m3_1024d,气,4,,,
bge_m3_1024d,水,4,0.07126234297174955,0.00026613773993374996,0.002724114496707
bge_m3_1024d,氵,4,0.22552595532186778,0.01394653960590815,0.0249136517603291
bge_m3_1024d,火,4,0.22145849383022218,0.05695169985745783,0.06834608129811717
bge_m3_1024d,灬,4,,,
bge_m3_1024d,炎,1,,,
bge_m3_1024d,爪,4,,,
bge_m3_1024d,爭,4,,,
bge_m3_1024d,父,4,,,
bge_m3_1024d,爿,4,,,
bge_m3_1024d,片,4,,,
bge_m3_1024d,牛,4,,,
bge_m3_1024d,牜,4,0.10643815649322247,0.005117650418209725,0.0051632680476288
bge_m3_1024d,犬,4,-0.06018094348255543,0.01777892170543265,0.07602825992797864
bge_m3_1024d,犭,4,0.1576835695987053,0.0020147775088572998,0.009971763702846526
bge_m3_1024d,玄,2,,,
bge_m3_1024d,玉,4,,,
bge_m3_1024d,王,4,0.27924866716847363,0.016149889684179325,0.020405682810473474
bge_m3_1024d,瓜,4,,,
bge_m3_1024d,瓦,4,0.3662208369370181,0.009273448571624375,0.006477119360968075
bge_m3_1024d,田,4,0.1408721039143319,0.009551116293489025,0.028499712744981125
bge_m3_1024d,申,2,,,
bge_m3_1024d,男,4,,,
bge_m3_1024d,甾,1,,,
bge_m3_1024d,畢,4,,,
bge_m3_1024d,疒,4,0.2824560957556646,0.013000392608505525,0.023336553618837973
bge_m3_1024d,癶,4,,,
