channel,relation_class,models,mean_offset_consistency,mean_forward_mrr,mean_inverse_mrr
cn_def,㐬,4,,,
cn_def,㔾,4,,,
cn_def,㝱,4,,,
cn_def,㣺,4,,,
cn_def,㫃,4,0.22164429670998023,0.025927304565243024,0.0064676285631177
cn_def,㹜,4,,,
cn_def,㾜,4,,,
cn_def,䀠,4,,,
cn_def,䖵,4,,,
cn_def,一,4,,,
cn_def,乑,4,,,
cn_def,乙,4,,,
cn_def,二,4,,,
cn_def,京,4,,,
cn_def,人,4,,,
cn_def,亻,4,0.0478172838587509,0.0250205234445135,0.04007977956672705
cn_def,儿,4,,,
cn_def,光,4,,,
cn_def,兮,4,,,
cn_def,共,4,,,
cn_def,冂,4,,,
cn_def,冃,4,,,
cn_def,冖,4,,,
cn_def,冫,4,0.21045559442912537,0.00384039402368535,0.0020116421829725
cn_def,几,4,,,
cn_def,刀,4,,,
cn_def,刂,4,0.230633141787257,0.018087273242784377,0.005789125875229175
cn_def,力,4,0.1414014287802274,0.007383109614862075,0.009784506405743725
cn_def,勹,4,,,
cn_def,匕,4,,,
cn_def,匚,4,0.08918522587046022,0.0017058169230977252,0.002843672334885
cn_def,匸,4,,,
cn_def,十,4,,,
cn_def,卂,4,,,
cn_def,半,4,,,
cn_def,卜,4,,,
cn_def,卩,4,,,
cn_def,卵,4,,,
cn_def,厂,4,,,
cn_def,厶,4,,,
cn_def,又,4,,,
cn_def,口,4,0.23500470017878808,0.0063540175555624,0.02373557436944745
cn_def,向,4,,,
cn_def,喜,4,,,
cn_def,囗,4,0.1436594551894813,0.002209297449730775,0.003138868789215175
cn_def,土,4,0.19461486303021736,0.01307810497038865,0.0375271964041935
cn_def,壬,4,,,
cn_def,壴,4,,,
cn_def,夂,4,,,
cn_def,夕,4,,,
cn_def,多,4,,,
cn_def,大,4,0.0498016287165228,0.003889469142658825,0.050840045274762075
cn_def,夭,4,,,
cn_def,夸,4,,,
cn_def,女,4,0.1780286841043878,0.0053146113947404,0.01343514499965255
cn_def,子,4,0.16708874541412413,0.01056760411706965,0.00231083635381285
cn_def,學,4,,,
cn_def,宀,4,0.13992047295905646,0.002209853043795525,0.005329451020021375
cn_def,寸,4,,,
cn_def,尢,4,,,
cn_def,尸,4,0.0348387455368148,0.000432679491896175,0.002812238159049825
cn_def,尺,4,,,
cn_def,履,4,,,
cn_def,山,4,0.2572458525369017,0.01856835127219255,0.021273406906419073
cn_def,工,4,,,
cn_def,巾,4,0.22209757831032298,0.006776276164121575,0.011369894422365825
cn_def,幺,4,,,
cn_def,广,4,0.1454991606203839,0.0033036954260799003,0.00951874642578335
cn_def,庚,4,,,
cn_def,廾,4,,,
cn_def,弓,4,0.09632504364061685,0.000933310706382,0.0028913598077244
cn_def,彡,4,0.07858663401566443,0.0133858654406845,0.012745238291905575
cn_def,彳,4,0.14437451742456425,0.025997383489718077,0.044003637076434246
cn_def,微,4,,,
cn_def,心,4,0.18728374713606644,0.04229892504707955,0.048658886634130524
cn_def,忄,4,0.2516041637922171,0.01187632641643685,0.019295664699896402
cn_def,恣,4,,,
cn_def,戈,4,0.09616745488407707,0.002517750774875975,0.00408836590856565
cn_def,戊,4,,,
cn_def,戶,4,,,
cn_def,手,4,0.16984519122966696,0.008274665250790174,0.016126683156208323
cn_def,扌,4,0.22529538601861687,0.01505902507720715,0.02429934091643525
cn_def,攴,4,,,
cn_def,攵,4,0.10158025308711717,0.0018399135687300248,0.005000317388171775
cn_def,敕,4,,,
cn_def,文,4,,,
cn_def,斗,4,0.0293197438819334,0.0007118935058820751,0.006280785576872975
