model,channel,edge_row,C,P,S,anchor_family,other_training_family_count,baseline_predicted_P,baseline_rank_true_P,baseline_top1_correct,baseline_top5_correct,baseline_top10_correct,candidate_anchor_count,offset_predicted_P,offset_rank_true_P,true_P_offset_top1,true_P_offset_top5,true_P_offset_top10,rank_change,top1_rescued,top1_lost,true_anchor_rank,baseline_cosine,adjusted_cosine,residual_improvement_over_raw_cosine
bge_m3_1024d,cn_def,31,儐,賓,亻,ROOT-219CD,126,郎,10,0,0,1,1053,郎,9,0,0,1,1,0,0,9,0.672084,0.6715555787086487,-0.0005283951759338
bge_m3_1024d,cn_def,32,嬪,賓,女,ROOT-219CD,68,家,107,0,0,0,1053,郎,134,0,0,0,-27,0,0,134,0.5078236,0.5286622047424316,0.0208386182785034
bge_m3_1024d,cn_def,33,擯,賓,扌,ROOT-219CD,138,蔑,453,0,0,0,1053,蔑,396,0,0,0,57,0,0,396,0.5394821,0.5282350182533264,-0.0112470984458923
bge_m3_1024d,cn_def,34,檳,賓,木,ROOT-219CD,139,葛,951,0,0,0,1053,葛,587,0,0,0,364,0,0,587,0.3737674,0.46613210439682,0.0923646986484527
bge_m3_1024d,cn_def,35,殯,賓,歹,ROOT-219CD,10,骨,714,0,0,0,1053,骨,417,0,0,0,297,0,0,417,0.4034365,0.4138050079345703,0.0103684961795806
bge_m3_1024d,cn_def,36,濱,賓,氵,ROOT-219CD,185,浦,550,0,0,0,1053,浦,434,0,0,0,116,0,0,434,0.5498055,0.6167278289794922,0.0669223070144653
bge_m3_1024d,cn_def,37,繽,賓,糸,ROOT-219CD,97,夭,690,0,0,0,1053,夭,513,0,0,0,177,0,0,513,0.52055955,0.5569421052932739,0.0363825559616088
bge_m3_1024d,cn_def,38,鬢,賓,髟,ROOT-219CD,10,眉,492,0,0,0,1053,即,293,0,0,0,199,0,0,293,0.50822735,0.5867785215377808,0.078551173210144
bge_m3_1024d,cn_def,252,刻,亥,刂,ROOT-4EA5,19,造,956,0,0,0,1053,造,889,0,0,0,67,0,0,889,0.45147884,0.4575675427913666,0.0060887038707733
bge_m3_1024d,cn_def,253,劾,亥,力,ROOT-4EA5,15,干,978,0,0,0,1053,姦,949,0,0,0,29,0,0,949,0.40924063,0.4206568002700805,0.0114161670207977
bge_m3_1024d,cn_def,254,咳,亥,口,ROOT-4EA5,113,息,804,0,0,0,1053,息,545,0,0,0,259,0,0,545,0.4139271,0.4720916748046875,0.0581645667552948
bge_m3_1024d,cn_def,255,垓,亥,土,ROOT-4EA5,65,野,669,0,0,0,1053,久,738,0,0,0,-69,0,0,738,0.48341045,0.4833963811397552,-1.4066696166992188e-05
bge_m3_1024d,cn_def,256,孩,亥,子,ROOT-4EA5,5,幼,987,0,0,0,1053,幼,1029,0,0,0,-42,0,0,1029,0.42310837,0.4178446829319,-0.0052636861801147
bge_m3_1024d,cn_def,257,核,亥,木,ROOT-4EA5,139,固,905,0,0,0,1053,固,952,0,0,0,-47,0,0,952,0.41587454,0.41881263256073,0.0029380917549133
bge_m3_1024d,cn_def,258,欬,亥,欠,ROOT-4EA5,13,臭,727,0,0,0,1053,臭,695,0,0,0,32,0,0,695,0.49412706,0.5161545276641846,0.0220274627208709
bge_m3_1024d,cn_def,259,該,亥,言,ROOT-4EA5,95,宜,799,0,0,0,1053,宜,716,0,0,0,83,0,0,716,0.47360247,0.4964503049850464,0.022847831249237
bge_m3_1024d,cn_def,260,閡,亥,門,ROOT-4EA5,19,絕,937,0,0,0,1053,絕,868,0,0,0,69,0,0,868,0.47149926,0.4801904559135437,0.0086911916732788
