model,channel,edge_row,derived_character,anchor_character,relation_class,anchor_family,training_family_count,baseline_predicted_character,baseline_true_character_rank,baseline_top1_correct,baseline_top5_correct,baseline_top10_correct,candidate_character_count,offset_predicted_character,offset_true_character_rank,offset_top1_correct,offset_top5_correct,offset_top10_correct,rank_change,top1_rescued,top1_lost,true_rank_unrestricted,candidate_count_unrestricted,true_rank_layout_constrained,candidate_count_layout_constrained
bge_m3_1024d,cn_def,2,劌,歲,刂,ROOT-4E00,19,期,1107,0,0,0,6039,期,66,0,0,0,1041,0,0,66,6039,38.0,3732
bge_m3_1024d,cn_def,3,穢,歲,禾,ROOT-4E00,24,期,2483,0,0,0,6039,期,2741,0,0,0,-258,0,0,2741,6039,1643.0,3732
bge_m3_1024d,cn_def,5,停,亭,亻,ROOT-4E01,126,壩,2199,0,0,0,6039,壩,2125,0,0,0,74,0,0,2125,6039,1280.0,3732
bge_m3_1024d,cn_def,6,叮,丁,口,ROOT-4E01,113,丙,497,0,0,0,6039,戊,62,0,0,0,435,0,0,62,6039,32.0,3732
bge_m3_1024d,cn_def,8,城,成,土,ROOT-4E01,65,得,3349,0,0,0,6039,嬴,2405,0,0,0,944,0,0,2405,6039,1497.0,3732
bge_m3_1024d,cn_def,9,盛,成,皿,ROOT-4E01,8,得,1457,0,0,0,6039,就,2,0,1,1,1455,0,0,2,6039,1.0,1467
bge_m3_1024d,cn_def,10,誠,成,言,ROOT-4E01,95,得,1200,0,0,0,6039,得,987,0,0,0,213,0,0,987,6039,629.0,3732
bge_m3_1024d,cn_def,11,打,丁,扌,ROOT-4E01,138,丙,1039,0,0,0,6039,丙,152,0,0,0,887,0,0,152,6039,92.0,3732
bge_m3_1024d,cn_def,12,汀,丁,氵,ROOT-4E01,185,丙,4946,0,0,0,6039,戊,2564,0,0,0,2382,0,0,2564,6039,1586.0,3732
bge_m3_1024d,cn_def,13,町,丁,田,ROOT-4E01,9,丙,5379,0,0,0,6039,丙,4248,0,0,0,1131,0,0,4248,6039,2588.0,3732
bge_m3_1024d,cn_def,14,疔,丁,疒,ROOT-4E01,46,丙,5971,0,0,0,6039,戊,1568,0,0,0,4403,0,0,1568,6039,104.0,232
bge_m3_1024d,cn_def,15,訂,丁,言,ROOT-4E01,95,丙,2769,0,0,0,6039,戊,1794,0,0,0,975,0,0,1794,6039,1111.0,3732
bge_m3_1024d,cn_def,16,酊,丁,酉,ROOT-4E01,19,丙,4305,0,0,0,6039,戊,1097,0,0,0,3208,0,0,1097,6039,662.0,3732
bge_m3_1024d,cn_def,17,釘,丁,釒,ROOT-4E01,85,丙,5872,0,0,0,6039,丙,3751,0,0,0,2121,0,0,3751,6039,2359.0,3732
bge_m3_1024d,cn_def,18,頂,丁,頁,ROOT-4E01,27,丙,30,0,0,0,6039,戊,15,0,0,0,15,0,0,15,6039,2.0,3732
bge_m3_1024d,cn_def,19,拷,考,扌,ROOT-4E02,138,壽,5324,0,0,0,6039,壽,4428,0,0,0,896,0,0,4428,6039,2748.0,3732
bge_m3_1024d,cn_def,21,砌,切,石,ROOT-4E03,38,剌,1187,0,0,0,6039,解,499,0,0,0,688,0,0,499,6039,354.0,3731
bge_m3_1024d,cn_def,22,叱,七,口,ROOT-4E03,113,五,5874,0,0,0,6039,九,2301,0,0,0,3573,0,0,2301,6039,1471.0,3732
bge_m3_1024d,cn_def,23,仗,丈,亻,ROOT-4E08,126,寸,1698,0,0,0,6039,寸,1691,0,0,0,7,0,0,1691,6039,1022.0,3732
bge_m3_1024d,cn_def,24,杖,丈,木,ROOT-4E08,139,寸,2415,0,0,0,6039,寸,410,0,0,0,2005,0,0,410,6039,254.0,3732
bge_m3_1024d,cn_def,26,胚,丕,肉,ROOT-4E0D,69,訏,4053,0,0,0,6039,奕,1873,0,0,0,2180,0,0,1873,6039,1110.0,3732
bge_m3_1024d,cn_def,27,否,不,口,ROOT-4E0D,113,卻,2955,0,0,0,6039,戲,3738,0,0,0,-783,0,0,3738,6039,847.0,1466
bge_m3_1024d,cn_def,29,痞,否,疒,ROOT-4E0D,46,坤,4322,0,0,0,6039,巽,3080,0,0,0,1242,0,0,3080,6039,155.0,232
bge_m3_1024d,cn_def,30,坏,不,土,ROOT-4E0D,65,卻,4225,0,0,0,6039,攘,3641,0,0,0,584,0,0,3641,6039,2274.0,3732
bge_m3_1024d,cn_def,31,儐,賓,亻,ROOT-219CD,126,客,18,0,0,0,6039,客,11,0,0,0,7,0,0,11,6039,4.0,3732
bge_m3_1024d,cn_def,32,嬪,賓,女,ROOT-219CD,68,客,2661,0,0,0,6039,客,455,0,0,0,2206,0,0,455,6039,276.0,3732
bge_m3_1024d,cn_def,33,擯,賓,扌,ROOT-219CD,138,客,1528,0,0,0,6039,客,1596,0,0,0,-68,0,0,1596,6039,1017.0,3732
bge_m3_1024d,cn_def,34,檳,賓,木,ROOT-219CD,139,客,5689,0,0,0,6039,客,4084,0,0,0,1605,0,0,4084,6039,2518.0,3732
bge_m3_1024d,cn_def,35,殯,賓,歹,ROOT-219CD,10,客,5278,0,0,0,6039,客,4328,0,0,0,950,0,0,4328,6039,2687.0,3732
bge_m3_1024d,cn_def,36,濱,賓,氵,ROOT-219CD,185,客,1225,0,0,0,6039,客,43,0,0,0,1182,0,0,43,6039,30.0,3732
bge_m3_1024d,cn_def,37,繽,賓,糸,ROOT-219CD,97,客,2215,0,0,0,6039,客,1627,0,0,0,588,0,0,1627,6039,1032.0,3732
bge_m3_1024d,cn_def,38,鬢,賓,髟,ROOT-219CD,10,客,2642,0,0,0,6039,客,29,0,0,0,2613,0,0,29,6039,8.0,1466
bge_m3_1024d,cn_def,39,眄,丏,目,ROOT-4E0F,31,擋,411,0,0,0,6039,擋,37,0,0,0,374,0,0,37,6039,24.0,3732
bge_m3_1024d,cn_def,40,忸,丑,忄,ROOT-4E11,79,劇,4543,0,0,0,6039,喟,2539,0,0,0,2004,0,0,2539,6039,1596.0,3732
bge_m3_1024d,cn_def,41,紐,丑,糸,ROOT-4E11,97,劇,2655,0,0,0,6039,劇,656,0,0,0,1999,0,0,656,6039,445.0,3732
bge_m3_1024d,cn_def,43,鈕,丑,釒,ROOT-4E11,85,劇,3788,0,0,0,6039,鞦,1987,0,0,0,1801,0,0,1987,6039,1302.0,3732
bge_m3_1024d,cn_def,44,助,且,力,ROOT-4E14,15,咯,18,0,0,0,6039,咯,19,0,0,0,-1,0,0,19,6039,11.0,3732
bge_m3_1024d,cn_def,45,鋤,助,釒,ROOT-4E14,85,毗,2856,0,0,0,6039,毗,870,0,0,0,1986,0,0,870,6039,574.0,3731
bge_m3_1024d,cn_def,46,咀,且,口,ROOT-4E14,113,咯,2894,0,0,0,6039,咯,1019,0,0,0,1875,0,0,1019,6039,671.0,3732
bge_m3_1024d,cn_def,47,姐,且,女,ROOT-4E14,68,咯,4763,0,0,0,6039,咯,3104,0,0,0,1659,0,0,3104,6039,1961.0,3732
bge_m3_1024d,cn_def,48,殂,且,歹,ROOT-4E14,10,咯,2468,0,0,0,6039,咯,20,0,0,0,2448,0,0,20,6039,14.0,3732
bge_m3_1024d,cn_def,49,沮,且,氵,ROOT-4E14,185,咯,2449,0,0,0,6039,咯,186,0,0,0,2263,0,0,186,6039,150.0,3732
bge_m3_1024d,cn_def,50,狙,且,犭,ROOT-4E14,27,咯,5936,0,0,0,6039,咯,5574,0,0,0,362,0,0,5574,6039,3482.0,3732
bge_m3_1024d,cn_def,51,疽,且,疒,ROOT-4E14,46,咯,5515,0,0,0,6039,咯,1114,0,0,0,4401,0,0,1114,6039,70.0,232
bge_m3_1024d,cn_def,52,祖,且,礻,ROOT-4E14,19,咯,2037,0,0,0,6039,咯,1059,0,0,0,978,0,0,1059,6039,661.0,3732
bge_m3_1024d,cn_def,53,租,且,禾,ROOT-4E14,24,咯,2721,0,0,0,6039,咯,1201,0,0,0,1520,0,0,1201,6039,735.0,3732
bge_m3_1024d,cn_def,54,粗,且,米,ROOT-4E14,16,咯,3860,0,0,0,6039,咯,510,0,0,0,3350,0,0,510,6039,336.0,3732
bge_m3_1024d,cn_def,55,組,且,糸,ROOT-4E14,97,咯,4371,0,0,0,6039,咯,4237,0,0,0,134,0,0,4237,6039,2690.0,3732
bge_m3_1024d,cn_def,56,蛆,且,虫,ROOT-4E14,76,咯,5800,0,0,0,6039,咯,1304,0,0,0,4496,0,0,1304,6039,849.0,3732
bge_m3_1024d,cn_def,57,詛,且,言,ROOT-4E14,95,咯,2743,0,0,0,6039,咯,1675,0,0,0,1068,0,0,1675,6039,1062.0,3732
bge_m3_1024d,cn_def,58,趄,且,走,ROOT-4E14,7,咯,2159,0,0,0,6039,咯,218,0,0,0,1941,0,0,218,6039,19.0,177
bge_m3_1024d,cn_def,59,阻,且,阝,ROOT-4E14,47,咯,2956,0,0,0,6039,咯,782,0,0,0,2174,0,0,782,6039,480.0,3732
bge_m3_1024d,cn_def,60,雎,且,隹,ROOT-4E14,10,咯,5700,0,0,0,6039,咯,5577,0,0,0,123,0,0,5577,6039,3490.0,3732
bge_m3_1024d,cn_def,61,齟,且,齒,ROOT-4E14,6,咯,2493,0,0,0,6039,咯,11,0,0,0,2482,0,0,11,6039,6.0,3732
bge_m3_1024d,cn_def,62,泄,世,氵,ROOT-4E16,185,卅,3710,0,0,0,6039,卅,975,0,0,0,2735,0,0,975,6039,614.0,3732
bge_m3_1024d,cn_def,63,柄,丙,木,ROOT-4E19,139,乙,4777,0,0,0,6039,乙,4149,0,0,0,628,0,0,4149,6039,2548.0,3732
bge_m3_1024d,cn_def,64,炳,丙,火,ROOT-4E19,34,乙,324,0,0,0,6039,乙,151,0,0,0,173,0,0,151,6039,78.0,3732
bge_m3_1024d,cn_def,65,病,丙,疒,ROOT-4E19,46,乙,4217,0,0,0,6039,乙,166,0,0,0,4051,0,0,166,6039,30.0,232
bge_m3_1024d,cn_def,66,坪,平,土,ROOT-5E73,65,純,62,0,0,0,6039,通,24,0,0,0,38,0,0,24,6039,18.0,3732
bge_m3_1024d,cn_def,67,怦,平,忄,ROOT-5E73,79,純,5527,0,0,0,6039,純,4819,0,0,0,708,0,0,4819,6039,3015.0,3732
bge_m3_1024d,cn_def,68,抨,平,扌,ROOT-5E73,138,純,4190,0,0,0,6039,純,3529,0,0,0,661,0,0,3529,6039,2239.0,3732
bge_m3_1024d,cn_def,69,枰,平,木,ROOT-5E73,139,純,706,0,0,0,6039,樸,620,0,0,0,86,0,0,620,6039,379.0,3732
bge_m3_1024d,cn_def,70,秤,平,禾,ROOT-5E73,24,純,641,0,0,0,6039,純,1150,0,0,0,-509,0,0,1150,6039,695.0,3732
bge_m3_1024d,cn_def,71,苹,平,艹,ROOT-5E73,150,純,4167,0,0,0,6039,純,1150,0,0,0,3017,0,0,1150,6039,342.0,1467
bge_m3_1024d,cn_def,72,評,平,言,ROOT-5E73,95,純,4967,0,0,0,6039,純,3506,0,0,0,1461,0,0,3506,6039,2184.0,3732
bge_m3_1024d,cn_def,73,拯,丞,扌,ROOT-4E1E,138,卿,109,0,0,0,6039,襄,51,0,0,0,58,0,0,51,6039,30.0,3732
bge_m3_1024d,cn_def,75,蒸,烝,艹,ROOT-4E1E,150,蒸,1,1,1,1,6039,蒸,1,1,1,1,0,0,0,1,6039,1.0,1466
bge_m3_1024d,cn_def,76,蚯,丘,虫,ROOT-4E18,76,坯,3982,0,0,0,6039,坯,473,0,0,0,3509,0,0,473,6039,289.0,3732
bge_m3_1024d,cn_def,77,邱,丘,阝,ROOT-4E18,47,坯,3,0,1,1,6039,坯,3,0,1,1,0,0,0,3,6039,2.0,3732
bge_m3_1024d,cn_def,78,仲,中,亻,ROOT-4E2D,126,稜,1025,0,0,0,6039,短,1262,0,0,0,-237,0,0,1262,6039,772.0,3732
bge_m3_1024d,cn_def,79,忠,中,心,ROOT-4E2D,43,稜,5480,0,0,0,6039,短,4742,0,0,0,738,0,0,4742,6039,1112.0,1467
bge_m3_1024d,cn_def,80,忡,中,忄,ROOT-4E2D,79,稜,3571,0,0,0,6039,短,534,0,0,0,3037,0,0,534,6039,328.0,3732
bge_m3_1024d,cn_def,81,沖,中,氵,ROOT-4E2D,185,稜,3759,0,0,0,6039,稜,1450,0,0,0,2309,0,0,1450,6039,922.0,3732
bge_m3_1024d,cn_def,82,盅,中,皿,ROOT-4E2D,8,稜,5790,0,0,0,6039,稜,2197,0,0,0,3593,0,0,2197,6039,489.0,1467
bge_m3_1024d,cn_def,83,衷,中,衣,ROOT-4E2D,10,稜,3508,0,0,0,6039,稜,4758,0,0,0,-1250,0,0,4758,6039,,0
bge_m3_1024d,cn_def,84,喫,契,口,ROOT-34DE,113,要,1713,0,0,0,6039,要,1373,0,0,0,340,0,0,1373,6039,861.0,3732
bge_m3_1024d,cn_def,85,楔,契,木,ROOT-34DE,139,要,3099,0,0,0,6039,要,681,0,0,0,2418,0,0,681,6039,426.0,3732
bge_m3_1024d,cn_def,86,鍥,契,釒,ROOT-34DE,85,要,998,0,0,0,6039,要,158,0,0,0,840,0,0,158,6039,101.0,3732
bge_m3_1024d,cn_def,87,潔,絜,氵,ROOT-34DE,185,稱,1400,0,0,0,6039,縛,1090,0,0,0,310,0,0,1090,6039,756.0,3732
bge_m3_1024d,cn_def,88,俸,奉,亻,ROOT-5949,126,掬,1858,0,0,0,6039,掬,1614,0,0,0,244,0,0,1614,6039,1064.0,3732
bge_m3_1024d,cn_def,89,捧,奉,扌,ROOT-5949,138,掬,4,0,1,1,6039,掬,3,0,1,1,1,0,0,3,6039,2.0,3732
bge_m3_1024d,cn_def,90,棒,奉,木,ROOT-5949,139,掬,1466,0,0,0,6039,掬,256,0,0,0,1210,0,0,256,6039,175.0,3732
bge_m3_1024d,cn_def,91,篷,逢,竹,ROOT-4E30,60,逄,5456,0,0,0,6039,劉,2643,0,0,0,2813,0,0,2643,6039,710.0,1467
bge_m3_1024d,cn_def,92,縫,逢,糸,ROOT-4E30,97,逄,3688,0,0,0,6039,仇,940,0,0,0,2748,0,0,940,6039,570.0,3732
bge_m3_1024d,cn_def,93,蓬,逢,艹,ROOT-4E30,150,逄,3543,0,0,0,6039,范,185,0,0,0,3358,0,0,185,6039,85.0,1467
bge_m3_1024d,cn_def,94,割,害,刂,ROOT-5BB3,19,殃,1971,0,0,0,6039,毀,308,0,0,0,1663,0,0,308,6039,206.0,3732
