model,channel_a,channel_b,matched_edges,baseline_recall_at_1_a,offset_recall_at_1_a,baseline_recall_at_1_b,offset_recall_at_1_b
bge_m3_1024d,cn_def,en_def_translated_cn_def,2960,0.011824324324324325,0.011486486486486487,0.010135135135135136,0.010472972972972974
bge_m3_1024d,cn_def,en_gloss_unihan,1,0.0,0.0,0.0,0.0
bge_m3_1024d,cn_def,zh_char,1,0.0,0.0,0.0,0.0
bge_m3_1024d,en_def_translated_cn_def,en_gloss_unihan,1,0.0,0.0,0.0,0.0
bge_m3_1024d,en_def_translated_cn_def,zh_char,1,0.0,0.0,0.0,0.0
bge_m3_1024d,en_gloss_unihan,zh_char,21,0.0,0.0,0.09523809523809523,0.09523809523809523
gte_multilingual_base_768d,cn_def,en_def_translated_cn_def,2960,0.013513513513513514,0.0125,0.009121621621621622,0.011824324324324325
gte_multilingual_base_768d,cn_def,en_gloss_unihan,1,0.0,0.0,0.0,0.0
gte_multilingual_base_768d,cn_def,zh_char,1,0.0,0.0,0.0,0.0
gte_multilingual_base_768d,en_def_translated_cn_def,en_gloss_unihan,1,0.0,0.0,0.0,0.0
gte_multilingual_base_768d,en_def_translated_cn_def,zh_char,1,0.0,0.0,0.0,0.0
gte_multilingual_base_768d,en_gloss_unihan,zh_char,21,0.0,0.0,0.09523809523809523,0.09523809523809523
qwen3_0.6b_1024d,cn_def,en_def_translated_cn_def,2960,0.011824324324324325,0.010810810810810811,0.008783783783783784,0.008783783783783784
qwen3_0.6b_1024d,cn_def,en_gloss_unihan,1,0.0,0.0,0.0,0.0
qwen3_0.6b_1024d,cn_def,zh_char,1,0.0,0.0,0.0,0.0
qwen3_0.6b_1024d,en_def_translated_cn_def,en_gloss_unihan,1,0.0,0.0,0.0,0.0
qwen3_0.6b_1024d,en_def_translated_cn_def,zh_char,1,0.0,0.0,0.0,0.0
qwen3_0.6b_1024d,en_gloss_unihan,zh_char,21,0.0,0.0,0.0,0.0
qwen3_4b_2560d_int8,cn_def,en_def_translated_cn_def,2960,0.0125,0.01418918918918919,0.009797297297297298,0.009797297297297298
qwen3_4b_2560d_int8,cn_def,en_gloss_unihan,1,0.0,0.0,0.0,0.0
qwen3_4b_2560d_int8,cn_def,zh_char,1,0.0,0.0,0.0,0.0
qwen3_4b_2560d_int8,en_def_translated_cn_def,en_gloss_unihan,1,0.0,0.0,0.0,0.0
qwen3_4b_2560d_int8,en_def_translated_cn_def,zh_char,1,0.0,0.0,0.0,0.0
qwen3_4b_2560d_int8,en_gloss_unihan,zh_char,21,0.0,0.0,0.0,0.14285714285714285
