relation_class,n_training_families,replicate,held_out_family,heldout_offset_cosine,model,channel
㝱,1,0,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,1,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,2,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,3,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,4,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,5,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,6,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,7,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,8,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,9,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,10,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,11,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,12,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,13,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,14,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,15,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,16,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,17,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,18,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,19,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,20,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,21,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,22,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,23,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,24,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,25,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,26,ROOT-4E94,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,27,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,28,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㝱,1,29,ROOT-672A,0.2910692989826202,bge_m3_1024d,cn_def
㣺,1,0,ROOT-83AB,-0.0493482500314712,bge_m3_1024d,cn_def
㣺,1,1,ROOT-83AB,-0.0493482500314712,bge_m3_1024d,cn_def
㣺,1,2,ROOT-83AB,-0.0493482500314712,bge_m3_1024d,cn_def
㣺,1,3,ROOT-5929,-0.0493482500314712,bge_m3_1024d,cn_def
㣺,1,4,ROOT-83AB,-0.0493482500314712,bge_m3_1024d,cn_def
㣺,1,5,ROOT-83AB,-0.0493482500314712,bge_m3_1024d,cn_def
㣺,1,6,ROOT-5929,-0.0493482500314712,bge_m3_1024d,cn_def
㣺,1,7,ROOT-5929,-0.0493482500314712,bge_m3_1024d,cn_def
㣺,1,8,ROOT-83AB,-0.0493482500314712,bge_m3_1024d,cn_def
