model,channel,minimum_other_training_families,eligible_heldout_edges,candidate_anchor_count,candidate_character_count,inverse_percent_rank_improved,inverse_percent_rank_worsened,inverse_top1_rescues,inverse_top1_losses,inverse_net_top1_gain,inverse_baseline_recall_at_1,inverse_baseline_recall_at_5,inverse_baseline_recall_at_10,inverse_baseline_mrr,inverse_baseline_median_rank,inverse_offset_recall_at_1,inverse_offset_recall_at_5,inverse_offset_recall_at_10,inverse_offset_mrr,inverse_offset_median_rank,inverse_baseline_mean_percentile_rank,inverse_offset_mean_percentile_rank,forward_baseline_recall_at_1,forward_baseline_recall_at_5,forward_baseline_recall_at_10,forward_baseline_mrr,forward_baseline_median_rank,forward_offset_recall_at_1,forward_offset_recall_at_5,forward_offset_recall_at_10,forward_offset_mrr,forward_offset_median_rank,human_interpretation,uniform_top1_reference
bge_m3_1024d,cn_def,3,2960,1053,6039,55.439189189189186,42.46621621621622,4,5,-1,0.011824324324324325,0.026013513513513515,0.03310810810810811,0.022502076217910998,477.0,0.011486486486486487,0.025,0.032432432432432434,0.022708984224512948,469.0,0.5336476210050355,0.5388096033295653,0.006081081081081081,0.011824324324324325,0.014864864864864866,0.010021047147365863,2710.0,0.0057432432432432436,0.016216216216216217,0.02364864864864865,0.015167904123145176,997.0,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 1.18% before relation subtraction and 1.15% afterward.",0.000949667616334283
bge_m3_1024d,cn_def,5,2883,1053,6039,55.42837322233785,42.42108914325355,4,5,-1,0.012140131807145335,0.026708289975719737,0.03364550815123136,0.022887843974377053,476.0,0.011793270898369753,0.025667707249392994,0.03295178633368019,0.023108245790823236,466.0,0.5338772982832363,0.5386822450737179,0.006243496357960458,0.012140131807145335,0.014915019077349982,0.01020360061704674,2707.0,0.005896635449184877,0.016302462712452306,0.023933402705515087,0.015351676859403817,988.0,,
bge_m3_1024d,cn_def,8,2790,1053,6039,55.55555555555556,42.22222222222222,4,5,-1,0.012544802867383513,0.027598566308243727,0.03476702508960573,0.0235212793265492,473.5,0.012186379928315413,0.026523297491039426,0.034050179211469536,0.023756483270117076,461.0,0.5358640991046241,0.5413389072870246,0.0064516129032258064,0.012544802867383513,0.015412186379928316,0.010510976104012327,2704.5,0.0060931899641577065,0.016129032258064516,0.023655913978494623,0.015269936432713873,1004.5,,
bge_m3_1024d,en_def_translated_cn_def,3,2960,1053,6039,54.08783783783784,43.851351351351354,4,3,1,0.010135135135135136,0.02027027027027027,0.02702702702702703,0.01923647310048613,503.0,0.010472972972972974,0.02060810810810811,0.027364864864864866,0.01961993659333934,490.0,0.5189873214469222,0.5232937904634672,0.004391891891891892,0.008783783783783784,0.011824324324324325,0.007647099356602504,2759.5,0.005067567567567568,0.011824324324324325,0.019932432432432434,0.012165716660903844,1220.0,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 1.01% before relation subtraction and 1.05% afterward.",0.000949667616334283
bge_m3_1024d,en_def_translated_cn_def,5,2883,1053,6039,54.075615678113074,43.84321886923344,4,3,1,0.010058966354491848,0.02046479361775928,0.027402011793270897,0.019287367775207304,501.0,0.01040582726326743,0.02081165452653486,0.02774887270204648,0.01969070668822991,489.0,0.5199121901167061,0.5235496136391513,0.004509191814082553,0.009018383628165106,0.011793270898369753,0.007774737748837895,2755.0,0.005202913631633715,0.012140131807145335,0.02046479361775928,0.01235988325326207,1200.0,,
bge_m3_1024d,en_def_translated_cn_def,8,2790,1053,6039,54.40860215053763,43.47670250896057,4,3,1,0.01039426523297491,0.02114695340501792,0.028315412186379927,0.019805717289734293,498.0,0.010752688172043012,0.021505376344086023,0.02867383512544803,0.020243232654221344,485.5,0.5225762159804843,0.5267495264183599,0.004659498207885305,0.00931899641577061,0.012186379928315413,0.008010355104667088,2739.5,0.005376344086021506,0.011827956989247311,0.02007168458781362,0.012219713029917825,1224.5,,
bge_m3_1024d,en_gloss_unihan,3,4648,1155,9152,57.22891566265061,40.49053356282272,14,8,6,0.01161790017211704,0.030120481927710843,0.04432013769363167,0.02501273668668892,548.0,0.012908777969018933,0.03119621342512909,0.04216867469879518,0.025947440816817265,532.5,0.525740558172278,0.5353624823632237,0.00387263339070568,0.010327022375215147,0.015920826161790018,0.008285341760992836,4132.5,0.006454388984509466,0.018717728055077452,0.02689328743545611,0.015039377730074249,1773.0,"Across 4,648 held-out cases, the correct phonophore/source anchor was rank 1 in 1.16% before relation subtraction and 1.29% afterward.",0.0008658008658008658
bge_m3_1024d,en_gloss_unihan,5,4585,1155,9152,57.36095965103599,40.37077426390404,14,8,6,0.011559432933478735,0.03009814612868048,0.044274809160305344,0.024950399685856748,548.0,0.012868047982551799,0.0311886586695747,0.0420937840785169,0.025917989680887595,533.0,0.5258241685550614,0.5353231564762649,0.003925845147219193,0.010468920392584515,0.01613958560523446,0.00838283809147863,4122.0,0.006543075245365322,0.0183206106870229,0.02639040348964013,0.014921666727493954,1770.0,,
bge_m3_1024d,en_gloss_unihan,8,4472,1155,9152,57.62522361359571,40.09391771019678,14,8,6,0.011627906976744186,0.03041144901610018,0.044722719141323794,0.025136490740682124,544.0,0.0129695885509839,0.03152951699463327,0.042486583184257604,0.02617444809591208,530.0,0.5279422046052774,0.5375903367923036,0.0038014311270125225,0.01050983899821109,0.016323792486583184,0.008309351350452177,4104.0,0.00648479427549195,0.0176654740608229,0.0259391771019678,0.014591929624627069,1768.0,,
bge_m3_1024d,zh_char,3,5240,1171,11150,58.85496183206107,33.83587786259542,11,8,3,0.014694656488549618,0.031297709923664124,0.04045801526717557,0.02702209651868994,488.0,0.015267175572519083,0.03263358778625954,0.04370229007633588,0.028464117777082562,484.0,0.5604586677105762,0.5640847850198996,0.010305343511450382,0.017366412213740457,0.023473282442748093,0.01514922616596971,5064.5,0.011259541984732824,0.018893129770992365,0.023091603053435116,0.015661750696425208,5624.0,"Across 5,240 held-out cases, the correct phonophore/source anchor was rank 1 in 1.47% before relation subtraction and 1.53% afterward.",0.0008539709649871904
