model,channel,relation_class,n_edges,n_anchor_families,within_relation_family_offset_cosine,n_heldout_test_edges,n_heldout_test_edges_ge5,n_heldout_test_edges_ge8,mean_heldout_offset_prototype_cosine,mean_heldout_offset_prototype_cosine_ge5,mean_heldout_offset_prototype_cosine_ge8,forward_n,forward_recall_at_1,forward_recall_at_5,forward_recall_at_10,forward_mrr,forward_median_rank,inverse_n,inverse_recall_at_1,inverse_recall_at_5,inverse_recall_at_10,inverse_mrr,inverse_median_rank
bge_m3_1024d,cn_def,㐬,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,㔾,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,㝱,2,2,0.2910691499710083,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,㣺,2,2,-0.0493481159210205,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,㫃,7,7,0.101342499256134,7,7,0,0.2058520636388233,0.2058520636388233,,7,0.0,0.0,0.0,0.0098877537218204,561.0,7,0.0,0.0,0.0,0.0047348685341678,672.0
bge_m3_1024d,cn_def,㹜,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,㾜,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,䀠,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,䖵,3,3,-0.0158236026763916,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,一,3,3,0.0253874454647302,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,乑,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,乙,3,3,-0.0123971300199627,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,二,2,2,-0.119978129863739,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,京,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,人,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,亻,138,127,0.0049521005712449,138,138,138,0.0438864189318205,0.0438864189318205,0.0438864189318205,138,0.0072463768115942,0.0289855072463768,0.036231884057971,0.0189215245773352,1614.5,138,0.0144927536231884,0.036231884057971,0.0652173913043478,0.031779778212219,422.5
bge_m3_1024d,cn_def,儿,2,2,0.023756980895996,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,光,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,兮,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,共,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,冂,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,冃,2,2,0.3452554941177368,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,冖,2,2,-0.097913384437561,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,冫,6,6,0.1008883193135261,6,6,0,0.194646301989754,0.194646301989754,,6,0.0,0.0,0.0,0.0024093675910225,903.5,6,0.0,0.0,0.0,0.0022367161712777,624.0
bge_m3_1024d,cn_def,几,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,刀,3,3,0.2457508295774459,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,刂,20,20,0.0644858926534652,20,20,20,0.1981922966428101,0.1981922966428101,0.1981922966428101,20,0.0,0.0,0.0,0.0099148268644659,757.5,20,0.0,0.0,0.0,0.0056700556278337,456.5
bge_m3_1024d,cn_def,力,16,16,0.0462750755250453,16,16,16,0.1432521847018506,0.1432521847018506,0.1432521847018506,16,0.0,0.0,0.0,0.0072045605784051,801.5,16,0.0,0.0,0.0,0.0074128743609851,523.0
bge_m3_1024d,cn_def,勹,3,3,0.0398468561470508,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,匕,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,匚,5,5,0.0529234632849693,5,0,0,0.1046833090484142,,,5,0.0,0.0,0.0,0.0039730746088899,964.0,5,0.0,0.0,0.0,0.0036827797821717,504.0
bge_m3_1024d,cn_def,匸,2,2,-0.0306495428085327,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,十,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,卂,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,半,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,卜,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,卩,2,2,0.0293596982955932,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,卵,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,厂,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,厶,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,又,2,2,0.08600914478302,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,口,122,114,0.0648651421070098,122,122,122,0.2331791249233618,0.2331791249233618,0.2331791249233618,122,0.0,0.0081967213114754,0.0081967213114754,0.0065502567422505,1118.5,122,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0296701592847575,480.5
bge_m3_1024d,cn_def,向,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,喜,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,囗,10,10,0.0485947728157043,10,10,10,0.12618222925812,0.12618222925812,0.12618222925812,10,0.0,0.0,0.0,0.0052109239105913,1295.5,10,0.0,0.0,0.0,0.0059496384590874,513.0
bge_m3_1024d,cn_def,土,66,66,0.0429440476000309,66,66,66,0.1805317632741097,0.1805317632741097,0.1805317632741097,66,0.0,0.0151515151515151,0.0151515151515151,0.010450929751833,869.5,66,0.0151515151515151,0.0303030303030303,0.0303030303030303,0.0297521067418097,458.5
bge_m3_1024d,cn_def,壬,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,壴,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,夂,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,夕,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,多,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,大,4,4,0.0672734603285789,4,0,0,0.1083838008344173,,,4,0.0,0.0,0.0,0.0061377295455496,864.5,4,0.0,0.0,0.0,0.044030065289656,30.0
bge_m3_1024d,cn_def,夭,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,夸,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,女,69,69,0.0427887327969074,69,69,69,0.1802660612848358,0.1802660612848358,0.1802660612848358,69,0.0,0.0,0.0,0.0054877164556643,1542.0,69,0.0,0.0289855072463768,0.0434782608695652,0.0172857121076354,515.0
bge_m3_1024d,cn_def,子,6,6,0.1131334975361824,6,6,0,0.2192550559993833,0.2192550559993833,,6,0.0,0.0,0.0,0.0189352321691897,255.0,6,0.0,0.0,0.0,0.0044221735024174,883.0
bge_m3_1024d,cn_def,學,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,宀,20,20,0.0524074658751487,20,20,20,0.1656947174342349,0.1656947174342349,0.1656947174342349,20,0.0,0.0,0.0,0.0027495090654475,1973.0,20,0.0,0.0,0.0,0.0052090319518741,412.5
bge_m3_1024d,cn_def,寸,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,尢,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,尸,7,7,0.0127103440463542,7,7,0,0.0284071628536496,0.0284071628536496,,7,0.0,0.0,0.0,0.0005146509508482,4390.0,7,0.0,0.0,0.0,0.0031841731708127,637.0
bge_m3_1024d,cn_def,尺,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,履,2,2,0.2541501522064209,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,山,38,38,0.0773378387093544,38,38,38,0.2437467328517844,0.2437467328517844,0.2437467328517844,38,0.0,0.0,0.0,0.0093374895678522,511.5,38,0.0,0.0,0.0263157894736842,0.010142593960851,371.0
bge_m3_1024d,cn_def,工,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,巾,22,22,0.0626774281263351,22,22,22,0.1930744180625135,0.1930744180625135,0.1930744180625135,22,0.0,0.0,0.0,0.0051853915220215,857.0,22,0.0,0.0454545454545454,0.0454545454545454,0.0197770651855993,600.0
bge_m3_1024d,cn_def,幺,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,广,25,25,0.0395164489746093,25,25,25,0.1436798844859004,0.1436798844859004,0.1436798844859004,25,0.0,0.0,0.0,0.0036784551556408,1321.0,25,0.0,0.0,0.0,0.0086070738949427,403.0
bge_m3_1024d,cn_def,庚,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,廾,1,1,,0,0,0,,,,0,,,,,,0,,,,,
bge_m3_1024d,cn_def,弓,9,9,0.0215528812259435,9,9,9,0.0661692533435093,0.0661692533435093,0.0661692533435093,9,0.0,0.0,0.0,0.0007902702250807,1476.0,9,0.0,0.0,0.0,0.002609371890248,689.0
