path,sha256,bytes
Centered_Sensitivity_C2_v1/channel_coverage_and_eligibility_v5.csv,e55668f37dfeb4281b252996d17beed79e90245e1f2889992b78a2584ae76991,2425
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__complete.json,381165ff977ef21212b66e916c715e559a2c75e433d869909d8a42c8830ffb98,328
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__control.csv,7d75acb11f43559678a653c177e2b198de2756cb9eb26cf07fa4381c47dd65a0,1512026
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__coverage.csv,1b4b2d768bcf4993b82d9088e9b90f72f15ab9de95db35a4761c9698ac0b3d3b,551
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__edge.csv,577ae84bf1deecf65a85ed5c20a5c3453b1f424afa7b9a6fed219ec449f4a979,1620164
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__forward.csv,7cb226ca416986a797956a191887f23aa9789d2b61b7d2882f8fec6cd250261f,398371
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__inverse.csv,fecffeed5f15b8e0b5b894b1f1b36eedc65e82c0ccda96f4bcaa1569843755e1,501866
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__learning.csv,851faba5ea2de782b05eb5129feae49431325dcc6549217f52a85afc3a567421,1075996
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__null.csv,6a1b1e6c4a75d7e35e985ac575281dcd41dd71c084855043bdaa158c6f5f2fca,3029634
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__prototypes.npz,aa7ea0d2c9c5f088bcd4cd9e4c090aae58cd0eea27ceda4b0544d85a33a2db86,907508
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__relation.csv,9ea8e5f80242345a7be78203a694b7f743843f570dabc7cc69136a640261395c,34614
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__cn_def__centered_sensitivity__residual.csv,16cef9f01d5f9745e22267e3dbac0f59ab7fa974d66e08efa09621da9e169ed6,67774
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__complete.json,660e6a4be91dbc1ca3f3ca1f84ca76621656e7e2322cf76cd72d99c49a5012f9,345
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__control.csv,65b689374259786d87fd8791fb40e4ae3c79b9a41d64a41b8d6e5eb4b8feb3eb,1778546
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__coverage.csv,b236215461df7e6880bed0a2b60b4ab76d38cf9d39c46102402c7c38f0f72e62,569
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__edge.csv,7a0b810e381edcf74ad112e0eaaa82a3c3a58a05d7ad26769728e48a2daf3982,1677609
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__forward.csv,436f066172d973ee1fab9e38e750fc5121cc28286bc9c2dbe33061d5b1e8237c,452671
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__inverse.csv,f1937d3f81bcf4b9d66e6ad9b441c41b3d6ed8b45b03d6a2e65ce41b54996b31,555671
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__learning.csv,966b1820d38912f6bc437a3fb92544205bb2b173c031e06c43f9466d51bd40b1,1316099
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__null.csv,f0a5108e6917217df51613133d05e9ed17655928126bbb3146ce1490b5516598,3542975
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__prototypes.npz,00427a5e844d46751dbfca20c570350b14e9538bf1103c1b2a10bb7cc21839be,907472
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__relation.csv,6596b5f31e1d791e827ae3f3d008d8ea9f049cb5c6933a5676044aaa45e2b633,38960
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_def_translated_cn_def__centered_sensitivity__residual.csv,3176e5dc2a53774d0c85771f6f0f347b13012f2c2c9bd111d579bf3211cadf61,76871
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__complete.json,4bc20ce973957b2d85e1ffde826f1210dece3bd55bc7c51093d3e347f600065b,337
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__control.csv,414da8729ac9c7fc497344dc7110a79c7eae097af532559c7abd80dffc4d0c17,2598908
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__coverage.csv,6fec2c2970e6f383bd477eeef5f8376359f60d803b4ba00be545d7a826918141,561
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__edge.csv,a9a1e52d2e11c7deafcd6a52157fa1c885b20a84f48f0e776266f5c83e8d3698,2549355
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__forward.csv,4279419e7a8f69287d5ebb651008aadeac50d51f6bd929a56119c4a9c8424610,671846
Centered_Sensitivity_C2_v1/checkpoints/bge_m3_1024d__en_gloss_unihan__centered_sensitivity__inverse.csv,8f64d00957eb7fd3578ea50a0587bf0e23be5c1a0637f9265789dee66cbd1a75,831037
