model,channel,support_threshold,n_heldout_cases_raw,n_p_root_families_raw,n_distinct_mapped_s_contexts_raw,candidate_count_raw,percent_rank_improved_raw,percent_rank_worsened_raw,percent_rank_tied_raw,top1_rescues_raw,top1_losses_raw,top1_net_raw,baseline_recall_at_1_raw,baseline_recall_at_5_raw,baseline_recall_at_10_raw,baseline_mrr_raw,baseline_median_rank_raw,baseline_mean_rank_raw,offset_recall_at_1_raw,offset_recall_at_5_raw,offset_recall_at_10_raw,offset_mrr_raw,offset_median_rank_raw,offset_mean_rank_raw,recall_at_1_gain_raw,recall_at_5_gain_raw,recall_at_10_gain_raw,human_interpretation_raw,n_heldout_cases_centered,n_p_root_families_centered,n_distinct_mapped_s_contexts_centered,candidate_count_centered,percent_rank_improved_centered,percent_rank_worsened_centered,percent_rank_tied_centered,top1_rescues_centered,top1_losses_centered,top1_net_centered,baseline_recall_at_1_centered,baseline_recall_at_5_centered,baseline_recall_at_10_centered,baseline_mrr_centered,baseline_median_rank_centered,baseline_mean_rank_centered,offset_recall_at_1_centered,offset_recall_at_5_centered,offset_recall_at_10_centered,offset_mrr_centered,offset_median_rank_centered,offset_mean_rank_centered,recall_at_1_gain_centered,recall_at_5_gain_centered,recall_at_10_gain_centered,human_interpretation_centered,n_heldout_cases_centered_minus_raw,n_p_root_families_centered_minus_raw,n_distinct_mapped_s_contexts_centered_minus_raw,candidate_count_centered_minus_raw,percent_rank_improved_centered_minus_raw,percent_rank_worsened_centered_minus_raw,percent_rank_tied_centered_minus_raw,top1_rescues_centered_minus_raw,top1_losses_centered_minus_raw,top1_net_centered_minus_raw,baseline_recall_at_1_centered_minus_raw,baseline_recall_at_5_centered_minus_raw,baseline_recall_at_10_centered_minus_raw,baseline_mrr_centered_minus_raw,baseline_median_rank_centered_minus_raw,baseline_mean_rank_centered_minus_raw,offset_recall_at_1_centered_minus_raw,offset_recall_at_5_centered_minus_raw,offset_recall_at_10_centered_minus_raw,offset_mrr_centered_minus_raw,offset_median_rank_centered_minus_raw,offset_mean_rank_centered_minus_raw,recall_at_1_gain_centered_minus_raw,recall_at_5_gain_centered_minus_raw,recall_at_10_gain_centered_minus_raw
bge_m3_1024d,cn_def,3,2398,320,177,6039,50.20850708924104,47.956630525437866,1.834862385321101,2,0,2,0.0033361134278565,0.0237698081734779,0.036697247706422,0.0170019619967231,1163.5,1749.23352793995,0.0041701417848206,0.0221017514595496,0.0350291909924937,0.0173904458822328,1194.0,1726.4720600500416,0.0008340283569641,-0.0016680567139282,-0.0016680567139282,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.33% using S alone and 0.42% after adding r_P.",2398,320,177,6039,54.04503753127607,44.28690575479566,1.6680567139282736,3,1,2,0.0037531276063386,0.024603836530442,0.0387823185988323,0.0180597214486964,1087.5,1780.5650542118433,0.0045871559633027,0.0212677231025854,0.037114261884904,0.0177513333739292,1026.0,1649.4353628023352,0.0008340283569641,-0.0033361134278565,-0.0016680567139282,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.38% using S alone and 0.46% after adding r_P.",0,0,0,0,3.836530442035034,-3.6697247706422047,-0.16680567139282743,1,1,0,0.00041701417848210003,0.0008340283569641012,0.0020850708924103,0.001057759451973301,-76.0,31.33152627189338,0.00041701417848210003,-0.0008340283569641983,0.0020850708924103,0.0003608874916963996,-168.0,-77.03669724770634,0.0,-0.0016680567139283002,0.0
bge_m3_1024d,cn_def,5,1804,185,164,6039,51.21951219512195,46.84035476718403,1.9401330376940131,2,0,2,0.003880266075388,0.024390243902439,0.0376940133037694,0.0172049088870539,1205.5,1765.5593126385809,0.0049889135254988,0.0238359201773835,0.0343680709534368,0.0179169070237819,1175.5,1730.9645232815965,0.0011086474501108,-0.0005543237250554,-0.0033259423503325,,1804,185,164,6039,55.54323725055432,42.572062084257205,1.88470066518847,3,1,2,0.003880266075388,0.0249445676274944,0.0399113082039911,0.0180726497559751,1103.5,1791.6402439024391,0.0049889135254988,0.0210643015521064,0.0376940133037694,0.0181308154255901,1010.5,1643.2926829268292,0.0011086474501108,-0.003880266075388,-0.0022172949002217,,0,0,0,0,4.323725055432369,-4.268292682926827,-0.055432372505543226,1,1,0,0.0,0.0005543237250554001,0.0022172949002217043,0.0008677408689212011,-102.0,26.080931263858247,0.0,-0.002771618625277101,0.0033259423503325947,0.00021390840180820006,-165.0,-87.67184035476726,0.0,-0.0033259423503326,0.0011086474501108001
bge_m3_1024d,cn_def,8,1112,86,135,6039,52.42805755395683,45.50359712230216,2.068345323741007,2,0,2,0.0026978417266187,0.0242805755395683,0.0377697841726618,0.0163041008308472,1276.0,1794.7778776978416,0.0044964028776978,0.0215827338129496,0.033273381294964,0.0170022178258155,1215.0,1734.1223021582734,0.0017985611510791,-0.0026978417266187,-0.0044964028776978,,1112,86,135,6039,57.19424460431655,41.09712230215828,1.70863309352518,2,0,2,0.0026978417266187,0.0251798561151079,0.039568345323741,0.0172835875158253,1218.5,1810.4703237410072,0.0044964028776978,0.02068345323741,0.0341726618705036,0.0174489549148483,996.5,1646.05035971223,0.0017985611510791,-0.0044964028776978,-0.0053956834532374,,0,0,0,0,4.766187050359719,-4.4064748201438775,-0.3597122302158273,0,0,0,0.0,0.0008992805755396009,0.001798561151079195,0.0009794866849781002,-57.5,15.692446043165546,0.0,-0.0008992805755396009,0.0008992805755395974,0.0004467370890328011,-218.5,-88.07194244604352,0.0,-0.0017985611510791,-0.0008992805755396
bge_m3_1024d,en_def_translated_cn_def,3,2398,320,177,6039,49.9582985821518,48.54045037531276,1.5012510425354462,2,4,-2,0.0058381984987489,0.0195996663886572,0.0341951626355296,0.016484536612875,1445.0,1949.7718932443704,0.0050041701417848,0.0158465387823186,0.0325271059216013,0.0152284851581774,1420.0,1937.8073394495411,-0.0008340283569641,-0.0037531276063386,-0.0016680567139282,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.58% using S alone and 0.50% after adding r_P.",2398,320,177,6039,51.66805671392828,46.705587989991656,1.626355296080067,3,2,1,0.0054211843202668,0.0229357798165137,0.0358632193494578,0.0174347363575055,1316.5,1941.977481234362,0.0058381984987489,0.0204336947456213,0.0362802335279399,0.0167861433951473,1282.5,1839.956630525438,0.000417014178482,-0.0025020850708924,0.000417014178482,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.54% using S alone and 0.58% after adding r_P.",0,0,0,0,1.709758131776482,-1.8348623853211024,0.12510425354462074,1,-2,3,-0.00041701417848210003,0.003336113427856502,0.0016680567139281954,0.0009501997446305019,-128.5,-7.7944120100085,0.0008340283569641003,0.0045871559633027005,0.0037531276063385993,0.0015576582369699003,-137.5,-97.85070892410317,0.0012510425354461,0.0012510425354462004,0.0020850708924102
bge_m3_1024d,en_def_translated_cn_def,5,1804,185,164,6039,51.10864745011087,47.28381374722838,1.6075388026607538,2,3,-1,0.0060975609756097,0.0194013303769401,0.0354767184035476,0.0166630950050169,1436.5,1971.2439024390244,0.0055432372505543,0.0149667405764966,0.0315964523281596,0.0155769217303057,1423.0,1944.8231707317077,-0.0005543237250554,-0.0044345898004434,-0.003880266075388,,1804,185,164,6039,52.99334811529933,45.23281596452328,1.7738359201773837,3,1,2,0.0055432372505543,0.0232815964523281,0.0376940133037694,0.0179027358019861,1300.5,1945.5144124168517,0.0066518847006651,0.020509977827051,0.0376940133037694,0.0176317127130376,1276.0,1823.579822616408,0.0011086474501108,-0.0027716186252771,0.0,,0,0,0,0,1.8847006651884541,-2.050997782705096,0.1662971175166299,1,-2,3,-0.0005543237250554001,0.0038802660753880017,0.0022172949002217945,0.0012396407969691992,-136.0,-25.72949002217274,0.0011086474501108001,0.0055432372505544,0.006097560975609796,0.0020547909827318984,-147.0,-121.2433481152998,0.0016629711751661998,0.0016629711751663,0.003880266075388
bge_m3_1024d,en_def_translated_cn_def,8,1112,86,135,6039,51.34892086330935,46.76258992805755,1.8884892086330936,0,2,-2,0.0062949640287769,0.0161870503597122,0.0323741007194244,0.015717848722676,1388.0,1947.431654676259,0.0044964028776978,0.0125899280575539,0.0296762589928057,0.0144184139430114,1414.0,1906.7275179856117,-0.0017985611510791,-0.0035971223021582,-0.0026978417266187,,1112,86,135,6039,52.96762589928058,45.32374100719424,1.70863309352518,3,1,2,0.0044964028776978,0.0224820143884892,0.0368705035971223,0.0168158480887736,1255.5,1914.238309352518,0.0062949640287769,0.0161870503597122,0.0359712230215827,0.0168789274498011,1225.5,1782.6807553956835,0.0017985611510791,-0.0062949640287769,-0.0008992805755395,,0,0,0,0,1.6187050359712245,-1.4388489208633075,-0.17985611510791366,3,-1,4,-0.0017985611510791004,0.006294964028777002,0.004496402877697904,0.0010979993660976024,-132.5,-33.19334532374114,0.0017985611510791004,0.0035971223021582996,0.006294964028776998,0.0024605135067897015,-188.5,-124.04676258992822,0.0035971223021582,-0.0026978417266187004,0.0017985611510792
bge_m3_1024d,en_gloss_unihan,3,4186,448,211,9152,59.79455327281414,39.46488294314381,0.7405637840420449,18,5,13,0.0031055900621118,0.009077878643096,0.0162446249402771,0.0094926817379514,1845.0,2729.00955566173,0.0062111801242236,0.0279503105590062,0.0430004777830864,0.0205997704260767,1608.5,2574.987577639752,0.0031055900621118,0.0188724319159101,0.0267558528428093,"Across 4,186 held-out members of P families, the correct derived character was rank 1 in 0.31% using S alone and 0.62% after adding r_P.",4186,448,211,9152,64.28571428571429,34.9976110845676,0.716674629718108,19,3,16,0.0031055900621118,0.0086000955566172,0.013616817964644,0.0089443177059861,1553.0,2522.7878643096037,0.0069278547539417,0.0243669374104156,0.033683707596751,0.0196572645546122,1139.0,2223.624223602485,0.0038222646918299,0.0157668418537983,0.020066889632107,"Across 4,186 held-out members of P families, the correct derived character was rank 1 in 0.31% using S alone and 0.69% after adding r_P.",0,0,0,0,4.49116101290015,-4.467271858576211,-0.0238891543239369,1,-2,3,0.0,-0.0004777830864787988,-0.0026278069756330985,-0.000548364031965301,-292.0,-206.22169135212607,0.0007166746297180993,-0.0035833731485906024,-0.009316770186335394,-0.000942505871464501,-469.5,-351.3633540372671,0.0007166746297180998,-0.0031055900621118,-0.006688963210702302
bge_m3_1024d,en_gloss_unihan,5,3577,312,203,9152,60.83310036343305,38.30025160749232,0.8666480290746437,17,4,13,0.0033547665641599,0.0092256080514397,0.0159351411797595,0.0097109610745368,1852.0,2750.743360357842,0.0069890970086664,0.0273972602739726,0.0430528375733855,0.0211054486652644,1582.0,2577.835336874476,0.0036343304445065,0.0181716522225328,0.0271176963936259,,3577,312,203,9152,65.89320659770758,33.407883701425774,0.698909700866648,17,3,14,0.0033547665641599,0.008946044171093,0.0139781940173329,0.009261052444871,1532.0,2525.82275649986,0.0072686608890131,0.0240424937098126,0.0332681017612524,0.0199878332922654,1094.0,2196.489236790607,0.0039138943248532,0.0150964495387195,0.0192899077439194,,0,0,0,0,5.060106234274528,-4.892367906066546,-0.1677383282079956,0,-1,1,0.0,-0.0002795638803467001,-0.0019569471624265988,-0.00044990862966579927,-320.0,-224.92060385798186,0.0002795638803467001,-0.003354766564160002,-0.0097847358121331,-0.001117615372999002,-488.0,-381.34610008386926,0.0002795638803467001,-0.003075202683813302,-0.007827788649706499
bge_m3_1024d,en_gloss_unihan,8,2667,181,190,9152,61.942257217847775,37.232845894263214,0.8248968878890138,14,3,11,0.0026246719160104,0.0089988751406074,0.0157480314960629,0.009268638690071,1885.0,2757.632920884889,0.0067491563554555,0.0288713910761154,0.0446194225721784,0.0218382415278527,1575.0,2588.937757780277,0.004124484439445,0.019872515935508,0.0288713910761154,,2667,181,190,9152,67.45406824146981,31.90851143607049,0.6374203224596925,14,1,13,0.0022497187851518,0.0082489688788901,0.0138732658417697,0.008558008166663,1536.0,2507.92125984252,0.0071241094863142,0.025121859767529,0.0341207349081364,0.0204970357298511,1087.0,2183.1949756280464,0.0048743907011623,0.0168728908886389,0.0202474690663667,,0,0,0,0,5.5118110236220375,-5.324334458192723,-0.18747656542932134,0,-2,2,-0.00037495313085860035,-0.0007499062617173004,-0.0018747656542932017,-0.0007106305234079995,-349.0,-249.71166104236863,0.00037495313085869966,-0.0037495313085864,-0.010498687664042002,-0.0013412057980016004,-488.0,-405.7427821522306,0.0007499062617173004,-0.002999625046869101,-0.008623922009748698
bge_m3_1024d,zh_char,3,4763,474,220,11150,68.4232626495906,30.925887045979422,0.650850304429981,7,9,-2,0.003779130799916,0.0149065714885576,0.0243543984883476,0.011467300210754,4672.0,4634.63762334663,0.0033592273777031,0.0121771992441738,0.0180558471551543,0.0086251681195995,5609.0,4976.595423052698,-0.0004199034222128,-0.0027293722443837,-0.0062985513331933,"Across 4,763 held-out members of P families, the correct derived character was rank 1 in 0.38% using S alone and 0.34% after adding r_P.",4763,474,220,11150,62.98551333193365,32.77346210371614,4.2410245643502,12,4,8,0.0035691790888095,0.0153264749107705,0.0245643501994541,0.0115962719686128,4453.0,4672.939743858912,0.0052487927776611,0.0199454125551123,0.0321226117992861,0.0153866512808813,4044.0,4283.566029813143,0.0016796136888515,0.0046189376443418,0.007558261599832,"Across 4,763 held-out members of P families, the correct derived character was rank 1 in 0.36% using S alone and 0.52% after adding r_P.",0,0,0,0,-5.4377493176569445,1.8475750577367194,3.590174259920219,5,-5,10,-0.00020995171110649996,0.00041990342221290104,0.00020995171110649996,0.00012897175785879858,-219.0,38.30212051228227,0.001889565399958,0.007768213310938498,0.014066764644131799,0.006761483161281801,-1565.0,-693.0293932395543,0.0020995171110643,0.007348309888725499,0.013856812933025299
