model,channel,anchor_family,rank_change_raw,rank_change_centered
bge_m3_1024d,cn_def,ROOT-20000,1531.84,2107.44
bge_m3_1024d,cn_def,ROOT-200A2,-126.0,581.0
bge_m3_1024d,cn_def,ROOT-200A4,2282.6666666666665,2415.3333333333335
bge_m3_1024d,cn_def,ROOT-2053E,-8.0,-6.0
bge_m3_1024d,cn_def,ROOT-20CCB,548.5,1019.0
bge_m3_1024d,cn_def,ROOT-2123C,1680.25,1881.25
bge_m3_1024d,cn_def,ROOT-219CD,1135.375,1371.25
bge_m3_1024d,cn_def,ROOT-21C55,1584.0,1170.0
bge_m3_1024d,cn_def,ROOT-22398,422.0,621.0
bge_m3_1024d,cn_def,ROOT-2274A,-173.0,-276.0
bge_m3_1024d,cn_def,ROOT-2304B,3657.0,1562.0
bge_m3_1024d,cn_def,ROOT-23386,1569.0,2385.0
bge_m3_1024d,cn_def,ROOT-233DF,2431.1666666666665,1858.3333333333333
bge_m3_1024d,cn_def,ROOT-2394F,1370.9285714285713,1841.2857142857142
bge_m3_1024d,cn_def,ROOT-239BC,484.5,428.5
bge_m3_1024d,cn_def,ROOT-25762,3282.0,4937.0
bge_m3_1024d,cn_def,ROOT-26B07,3250.0,1741.0
bge_m3_1024d,cn_def,ROOT-271A3,1366.75,1433.5
bge_m3_1024d,cn_def,ROOT-27BAB,3122.0,3998.0
bge_m3_1024d,cn_def,ROOT-342D,1836.0,2625.3333333333335
bge_m3_1024d,cn_def,ROOT-3431,2054.0,1252.0
bge_m3_1024d,cn_def,ROOT-34B8,1058.25,1578.25
bge_m3_1024d,cn_def,ROOT-34BC,539.0,1017.0
bge_m3_1024d,cn_def,ROOT-34DE,977.0,1216.25
bge_m3_1024d,cn_def,ROOT-3563,467.55555555555554,457.22222222222223
bge_m3_1024d,cn_def,ROOT-37A2,527.75,834.3333333333334
bge_m3_1024d,cn_def,ROOT-382F,1646.0,1823.125
bge_m3_1024d,cn_def,ROOT-3840,59.0,-227.2
bge_m3_1024d,cn_def,ROOT-3E12,712.0,437.0
bge_m3_1024d,cn_def,ROOT-4020,1016.0,1443.0
bge_m3_1024d,cn_def,ROOT-41C2,425.9,681.6
bge_m3_1024d,cn_def,ROOT-470C,106.0,144.0
bge_m3_1024d,cn_def,ROOT-4E00,391.5,163.0
bge_m3_1024d,cn_def,ROOT-4E01,1403.3076923076924,2187.769230769231
bge_m3_1024d,cn_def,ROOT-4E02,896.0,1284.0
bge_m3_1024d,cn_def,ROOT-4E03,2130.5,2677.5
bge_m3_1024d,cn_def,ROOT-4E08,1006.0,658.0
bge_m3_1024d,cn_def,ROOT-4E0D,805.75,1028.25
bge_m3_1024d,cn_def,ROOT-4E0F,374.0,570.0
bge_m3_1024d,cn_def,ROOT-4E11,1934.6666666666667,2323.3333333333335
bge_m3_1024d,cn_def,ROOT-4E14,1847.7222222222222,2078.3888888888887
bge_m3_1024d,cn_def,ROOT-4E16,2735.0,3447.0
bge_m3_1024d,cn_def,ROOT-4E18,1754.5,1483.0
bge_m3_1024d,cn_def,ROOT-4E19,1617.3333333333333,2381.3333333333335
bge_m3_1024d,cn_def,ROOT-4E1E,29.0,136.5
bge_m3_1024d,cn_def,ROOT-4E26,1411.0,1494.0
bge_m3_1024d,cn_def,ROOT-4E2D,1365.0,2046.0
bge_m3_1024d,cn_def,ROOT-4E30,3318.75,3571.75
bge_m3_1024d,cn_def,ROOT-4E32,1440.0,3578.0
bge_m3_1024d,cn_def,ROOT-4E36,1423.3333333333333,1439.1666666666667
bge_m3_1024d,cn_def,ROOT-4E38,1671.0,609.0
bge_m3_1024d,cn_def,ROOT-4E3F,1219.7692307692307,1365.923076923077
bge_m3_1024d,cn_def,ROOT-4E42,1462.5,1764.0
bge_m3_1024d,cn_def,ROOT-4E43,419.3333333333333,511.3333333333333
bge_m3_1024d,cn_def,ROOT-4E45,1239.3333333333333,980.6666666666666
bge_m3_1024d,cn_def,ROOT-4E47,249.0,149.0
bge_m3_1024d,cn_def,ROOT-4E4B,1498.0,3899.0
bge_m3_1024d,cn_def,ROOT-4E4D,912.6363636363636,925.1818181818181
bge_m3_1024d,cn_def,ROOT-4E4E,2249.0,2131.0
bge_m3_1024d,cn_def,ROOT-4E4F,1229.0,1734.4
bge_m3_1024d,cn_def,ROOT-4E58,-306.0,-345.0
bge_m3_1024d,cn_def,ROOT-4E59,630.75,1187.0
bge_m3_1024d,cn_def,ROOT-4E5D,1642.857142857143,1179.5714285714287
bge_m3_1024d,cn_def,ROOT-4E5E,57.0,54.0
bge_m3_1024d,cn_def,ROOT-4E5F,961.3333333333334,1144.6666666666667
bge_m3_1024d,cn_def,ROOT-4E88,4.833333333333333,318.5
bge_m3_1024d,cn_def,ROOT-4E8C,952.5,1328.5
bge_m3_1024d,cn_def,ROOT-4E8E,1296.875,1428.75
bge_m3_1024d,cn_def,ROOT-4E8F,1514.0,2446.3333333333335
bge_m3_1024d,cn_def,ROOT-4E91,1244.8333333333333,1861.8333333333333
bge_m3_1024d,cn_def,ROOT-4E94,644.8333333333334,1001.0833333333334
bge_m3_1024d,cn_def,ROOT-4E95,213.0,585.0
bge_m3_1024d,cn_def,ROOT-4E9E,1298.0,1139.0
bge_m3_1024d,cn_def,ROOT-4E9F,611.0,488.5
bge_m3_1024d,cn_def,ROOT-4EA1,2811.3333333333335,2797.3333333333335
bge_m3_1024d,cn_def,ROOT-4EA2,786.7,959.6
bge_m3_1024d,cn_def,ROOT-4EA4,932.8,998.3333333333334
bge_m3_1024d,cn_def,ROOT-4EA5,1547.6666666666667,1662.9166666666667
bge_m3_1024d,cn_def,ROOT-4EAC,1030.25,955.375
bge_m3_1024d,cn_def,ROOT-4EAE,77.0,48.0
bge_m3_1024d,cn_def,ROOT-4EBA,635.6666666666666,1224.3333333333333
bge_m3_1024d,cn_def,ROOT-4EC1,632.0,737.0
bge_m3_1024d,cn_def,ROOT-4EC4,362.0,46.0
bge_m3_1024d,cn_def,ROOT-4ECA,1254.6666666666667,1645.7222222222222
bge_m3_1024d,cn_def,ROOT-4ECB,2742.3333333333335,3291.3333333333335
bge_m3_1024d,cn_def,ROOT-4EE4,1471.2666666666667,1374.8666666666666
