model,channel,support_threshold,n_heldout_cases,n_p_root_families,n_distinct_mapped_s_contexts,candidate_count,percent_rank_improved,percent_rank_worsened,percent_rank_tied,top1_rescues,top1_losses,top1_net,baseline_recall_at_1,baseline_recall_at_5,baseline_recall_at_10,baseline_mrr,baseline_median_rank,baseline_mean_rank,offset_recall_at_1,offset_recall_at_5,offset_recall_at_10,offset_mrr,offset_median_rank,offset_mean_rank,recall_at_1_gain,recall_at_5_gain,recall_at_10_gain,human_interpretation,model_label,channel_label,median_rank_gain,mean_rank_gain,mrr_gain
bge_m3_1024d,cn_def,3,2398,320,177,6039,50.20850708924104,47.956630525437866,1.834862385321101,2,0,2,0.0033361134278565,0.0237698081734779,0.036697247706422,0.0170019619967231,1163.5,1749.23352793995,0.0041701417848206,0.0221017514595496,0.0350291909924937,0.0173904458822328,1194.0,1726.4720600500416,0.0008340283569641,-0.0016680567139282,-0.0016680567139282,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.33% using S alone and 0.42% after adding r_P.",BGE-M3,Chinese definition,-30.5,22.761467889908317,0.00038848388550970225
bge_m3_1024d,en_def_translated_cn_def,3,2398,320,177,6039,49.9582985821518,48.54045037531276,1.5012510425354462,2,4,-2,0.0058381984987489,0.0195996663886572,0.0341951626355296,0.016484536612875,1445.0,1949.7718932443704,0.0050041701417848,0.0158465387823186,0.0325271059216013,0.0152284851581774,1420.0,1937.8073394495411,-0.0008340283569641,-0.0037531276063386,-0.0016680567139282,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.58% using S alone and 0.50% after adding r_P.",BGE-M3,Translated EN definition,25.0,11.964553794829271,-0.0012560514546975984
bge_m3_1024d,en_gloss_unihan,3,4186,448,211,9152,59.79455327281414,39.46488294314381,0.7405637840420449,18,5,13,0.0031055900621118,0.009077878643096,0.0162446249402771,0.0094926817379514,1845.0,2729.00955566173,0.0062111801242236,0.0279503105590062,0.0430004777830864,0.0205997704260767,1608.5,2574.987577639752,0.0031055900621118,0.0188724319159101,0.0267558528428093,"Across 4,186 held-out members of P families, the correct derived character was rank 1 in 0.31% using S alone and 0.62% after adding r_P.",BGE-M3,Unihan EN gloss,236.5,154.0219780219777,0.011107088688125301
bge_m3_1024d,zh_char,3,4763,474,220,11150,68.4232626495906,30.925887045979422,0.650850304429981,7,9,-2,0.003779130799916,0.0149065714885576,0.0243543984883476,0.011467300210754,4672.0,4634.63762334663,0.0033592273777031,0.0121771992441738,0.0180558471551543,0.0086251681195995,5609.0,4976.595423052698,-0.0004199034222128,-0.0027293722443837,-0.0062985513331933,"Across 4,763 held-out members of P families, the correct derived character was rank 1 in 0.38% using S alone and 0.34% after adding r_P.",BGE-M3,Character,-937.0,-341.9577997060678,-0.0028421320911545013
gte_multilingual_base_768d,cn_def,3,2398,320,177,6039,55.04587155963303,42.91075896580484,2.043369474562135,3,2,1,0.0054211843202668,0.024603836530442,0.0400333611342785,0.0200591601652732,1077.0,1806.6042535446204,0.0058381984987489,0.0233527939949958,0.0442035029190992,0.020544740495949,956.5,1669.8302752293578,0.000417014178482,-0.0012510425354462,0.0041701417848206,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.54% using S alone and 0.58% after adding r_P.",GTE,Chinese definition,120.5,136.77397831526264,0.0004855803306757986
gte_multilingual_base_768d,en_def_translated_cn_def,3,2398,320,177,6039,53.252710592160135,44.91242702251876,1.834862385321101,4,1,3,0.0058381984987489,0.0258548790658882,0.0417014178482068,0.0201177338339114,1061.5,1747.7814845704754,0.0070892410341951,0.0233527939949958,0.0391993327773144,0.0203114724701312,1040.5,1652.2443703085903,0.0012510425354462,-0.0025020850708924,-0.0025020850708924,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.58% using S alone and 0.71% after adding r_P.",GTE,Translated EN definition,21.0,95.53711426188511,0.00019373863621979792
gte_multilingual_base_768d,en_gloss_unihan,3,4186,448,211,9152,62.44624940277114,36.76540850453894,0.7883420926899188,22,1,21,0.0031055900621118,0.0105112279025322,0.0186335403726708,0.010413438643172,1299.0,2344.54204491161,0.0081223124701385,0.029144768275203,0.0451505016722408,0.0228992094181539,1071.0,2137.5437171524127,0.0050167224080267,0.0186335403726708,0.0265169612995699,"Across 4,186 held-out members of P families, the correct derived character was rank 1 in 0.31% using S alone and 0.81% after adding r_P.",GTE,Unihan EN gloss,228.0,206.9983277591973,0.0124857707749819
gte_multilingual_base_768d,zh_char,3,4763,474,220,11150,66.53369724963258,31.82867940373714,1.637623346630275,7,2,5,0.0039890825110224,0.0136468612219189,0.0251942053327734,0.0122665071114408,4418.0,4333.551753096788,0.0050388410665546,0.0153264749107705,0.0235145916439218,0.0115712923067406,5545.0,4722.099727062776,0.0010497585555322,0.0016796136888515,-0.0016796136888515,"Across 4,763 held-out members of P families, the correct derived character was rank 1 in 0.40% using S alone and 0.50% after adding r_P.",GTE,Character,-1127.0,-388.5479739659877,-0.0006952148047002001
qwen3_0.6b_1024d,cn_def,3,2398,320,177,6039,54.67055879899917,43.57798165137615,1.7514595496246872,4,2,2,0.0050041701417848,0.0216847372810675,0.0379482902418682,0.0183865255197374,1101.0,1710.207673060884,0.0058381984987489,0.0212677231025854,0.0358632193494578,0.0190045241226864,991.0,1585.4028356964136,0.0008340283569641,-0.000417014178482,-0.0020850708924103,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.50% using S alone and 0.58% after adding r_P.",Qwen 0.6B,Chinese definition,110.0,124.80483736447036,0.0006179986029490013
qwen3_0.6b_1024d,en_def_translated_cn_def,3,2398,320,177,6039,53.085904920767305,44.99582985821518,1.9182652210175144,0,3,-3,0.0041701417848206,0.0229357798165137,0.0387823185988323,0.0178299406208059,1190.5,1793.4595496246873,0.0029190992493744,0.0225187656380316,0.0387823185988323,0.0168297921344746,1190.5,1736.2572977481234,-0.0012510425354462,-0.000417014178482,0.0,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.42% using S alone and 0.29% after adding r_P.",Qwen 0.6B,Translated EN definition,0.0,57.20225187656388,-0.0010001484863312975
