edge_row,derived_character,p_anchor,s_component_canonical,s_independent_character,conditions,conditions_improved,top1_rescues,top1_losses,mean_rank_change
EDGE-03418,萹,扁,艹,艸,8,7,4,0,1143.125
EDGE-05339,覽,監,見,見,16,11,3,0,-6.5
EDGE-05313,耋,至,老,老,16,11,3,0,-325.6875
EDGE-00842,衁,亡,血,血,8,7,3,0,408.0
EDGE-00634,翎,令,羽,羽,16,7,3,0,-1.1875
EDGE-04409,髮,犮,髟,髟,16,4,3,0,-382.0
EDGE-01860,骼,各,骨,骨,16,4,3,0,-595.1875
EDGE-05000,黯,音,黑,黑,16,14,2,0,-299.4375
EDGE-00977,歉,兼,欠,欠,16,13,2,1,-168.4375
EDGE-00633,羚,令,羊,羊,16,11,2,0,-72.4375
EDGE-01089,鳳,凡,鳥,鳥,16,10,2,0,-120.375
EDGE-03873,瞳,童,目,目,16,9,2,0,-604.9375
EDGE-01094,弸,朋,弓,弓,8,8,2,0,634.75
EDGE-04580,閘,甲,門,門,16,8,2,0,-297.0625
EDGE-01329,暉,軍,日,日,16,7,2,0,151.0
EDGE-00466,皎,交,白,白,16,7,2,0,107.5625
EDGE-01818,舸,可,舟,舟,16,7,2,0,-325.75
EDGE-00720,獫,僉,犭,犬,8,6,2,0,254.25
EDGE-01725,豭,叚,豕,豕,8,6,2,0,22.5
EDGE-01555,鼬,由,鼠,鼠,16,5,2,0,-366.8125
EDGE-01545,笛,由,竹,竹,16,4,2,0,-436.8125
EDGE-04356,壤,襄,土,土,16,4,2,0,-709.1875
EDGE-02915,缸,工,缶,缶,16,3,2,1,-697.1875
EDGE-00930,哄,共,口,口,16,16,1,0,360.6875
EDGE-02556,褸,婁,衤,衣,16,16,1,0,162.1875
EDGE-05585,矚,屬,目,目,16,16,1,0,53.8125
EDGE-00113,齟,且,齒,齒,16,15,1,0,312.4375
EDGE-01512,颭,占,風,風,16,15,1,0,278.0625
EDGE-00635,聆,令,耳,耳,16,15,1,0,188.4375
EDGE-01598,麰,牟,麥,麥,16,15,1,0,102.75
EDGE-04306,簸,皮,箕,箕,16,15,1,0,66.4375
EDGE-04695,偕,皆,亻,人,16,14,1,0,862.1875
EDGE-01614,閎,厷,門,門,16,14,1,0,682.5
EDGE-01471,睥,卑,目,目,16,14,1,0,290.75
EDGE-00301,紮,札,糸,糸,16,13,1,0,755.6875
EDGE-01796,崎,奇,山,山,16,13,1,0,86.4375
EDGE-00790,鬩,兒,鬥,鬥,16,13,1,0,-29.5625
EDGE-06014,孺,需,子,子,16,12,1,0,186.8125
EDGE-04565,餔,甫,飠,食,16,12,1,0,147.5625
EDGE-01503,砧,占,石,石,16,12,1,0,131.0
EDGE-00512,驂,參,馬,馬,16,12,1,0,39.0
EDGE-05566,鱸,盧,魚,魚,16,12,1,0,-201.8125
EDGE-00614,昨,乍,日,日,16,12,1,0,-624.5
EDGE-03636,筍,旬,竹,竹,16,11,1,0,15.8125
EDGE-01246,抱,包,扌,手,16,11,1,0,-847.875
EDGE-02126,韙,韋,是,是,16,10,1,0,313.1875
EDGE-05933,們,門,亻,人,16,10,1,0,-175.125
EDGE-05787,譬,辟,言,言,16,10,1,0,-615.125
EDGE-05674,巒,䜌,山,山,16,9,1,0,120.75
EDGE-01161,紉,刃,糸,糸,16,9,1,0,112.125
EDGE-04688,舶,白,舟,舟,16,9,1,0,48.6875
EDGE-04488,睛,青,目,目,16,9,1,0,24.125
EDGE-03556,舫,方,舟,舟,16,9,1,0,-6.9375
EDGE-04875,斫,石,斤,斤,16,9,1,0,-27.25
EDGE-04046,磬,殸,石,石,16,9,1,0,-188.875
EDGE-00576,黔,今,黑,黑,16,9,1,0,-255.9375
EDGE-01530,覜,兆,見,見,8,8,1,0,803.375
EDGE-02362,琬,宛,王,玉,16,8,1,0,426.6875
EDGE-01123,柮,出,木,木,8,8,1,0,222.625
EDGE-03730,筤,良,竹,竹,8,8,1,0,212.125
EDGE-05513,蠓,蒙,虫,虫,8,8,1,0,182.625
EDGE-00588,仳,比,亻,人,16,8,1,0,86.0625
EDGE-02368,豌,宛,豆,豆,16,8,1,0,51.4375
EDGE-02351,綾,夌,糸,糸,16,8,1,0,-26.0625
EDGE-00016,盛,成,皿,皿,16,8,1,0,-91.875
EDGE-02629,琮,宗,王,玉,16,8,1,0,-297.25
EDGE-00483,孩,亥,子,子,16,8,1,0,-433.8125
EDGE-06163,驪,麗,馬,馬,8,7,1,0,550.0
EDGE-00759,侁,先,亻,人,8,7,1,0,463.75
EDGE-01135,弨,召,弓,弓,8,7,1,0,446.0
EDGE-00793,齯,兒,齒,齒,8,7,1,0,432.0
EDGE-04915,齵,禺,齒,齒,8,7,1,0,361.375
EDGE-00261,鷈,虒,鳥,鳥,8,7,1,0,299.875
EDGE-05140,燿,翟,火,火,8,7,1,0,286.125
EDGE-04421,魘,厭,鬼,鬼,8,7,1,0,190.625
EDGE-04111,羝,氐,羊,羊,8,7,1,0,155.0
EDGE-05073,翔,羊,羽,羽,16,7,1,0,-326.8125
EDGE-02874,緇,甾,糸,糸,16,7,1,0,-788.625
EDGE-02137,洄,回,氵,水,8,6,1,0,1622.125
EDGE-05132,鏐,翏,釒,金,8,6,1,0,520.5
EDGE-04408,韍,犮,韋,韋,8,6,1,0,473.875
EDGE-04840,繘,矞,糸,糸,8,6,1,0,406.125
EDGE-02778,鐶,睘,釒,金,8,6,1,0,333.125
EDGE-04766,稙,直,禾,禾,8,6,1,0,300.5
EDGE-02479,鼷,奚,鼠,鼠,8,6,1,0,152.5
EDGE-01917,姞,吉,女,女,8,6,1,0,39.75
EDGE-04472,黮,甚,黑,黑,8,6,1,0,-48.875
EDGE-01931,髻,吉,髟,髟,16,6,1,2,-68.125
EDGE-01356,耆,旨,老,老,16,6,1,0,-398.5
EDGE-01075,肌,几,肉,肉,16,6,1,0,-601.375
EDGE-05650,槲,斛,木,木,8,6,1,0,-663.375
EDGE-04082,耄,毛,老,老,16,6,1,0,-706.75
EDGE-03608,檀,亶,木,木,16,6,1,0,-759.1875
EDGE-05643,覡,見,巫,巫,8,5,1,0,407.625
EDGE-03036,耜,㠯,耒,耒,16,5,1,0,71.625
EDGE-03758,矰,曾,矢,矢,8,5,1,0,-28.25
EDGE-02767,握,屋,扌,手,16,5,1,0,-143.4375
EDGE-01540,岫,由,山,山,16,5,1,0,-221.8125
EDGE-03759,繒,曾,糸,糸,16,5,1,0,-255.6875
EDGE-03003,說,兌,言,言,16,5,1,0,-368.6875
EDGE-04097,舐,氏,舌,舌,16,5,1,0,-393.5625
EDGE-03145,黝,幼,黑,黑,16,5,1,1,-395.875
EDGE-05344,鹽,監,鹵,鹵,16,5,1,0,-590.125
EDGE-00179,蜂,夆,虫,虫,16,5,1,0,-637.0625
EDGE-02577,孵,孚,卵,卵,16,5,1,0,-698.125
EDGE-04997,窨,音,穴,穴,8,5,1,0,-846.75
EDGE-04442,弧,瓜,弓,弓,16,5,1,1,-907.4375
EDGE-00412,語,吾,言,言,16,4,1,0,3.25
EDGE-06131,瑰,鬼,王,玉,16,4,1,0,-324.875
EDGE-03586,豬,者,豕,豕,16,4,1,0,-544.8125
EDGE-01078,麂,几,鹿,鹿,16,4,1,0,-579.5
EDGE-05137,曜,翟,日,日,16,4,1,0,-745.125
EDGE-03695,匙,是,匕,匕,16,4,1,0,-786.5
EDGE-01432,軀,區,身,身,16,4,1,0,-799.0625
EDGE-03506,皙,析,白,白,16,3,1,0,19.3125
EDGE-05844,嚮,鄉,向,向,8,3,1,0,-673.375
EDGE-01942,銅,同,釒,金,16,3,1,0,-853.0
EDGE-03447,鼒,才,鼎,鼎,8,3,1,0,-871.5
EDGE-00494,骸,亥,骨,骨,16,3,1,1,-1390.8125
EDGE-00804,蚋,內,虫,虫,16,3,1,0,-1693.5
EDGE-05371,與,舁,与,与,8,2,1,0,0.25
EDGE-03108,稈,旱,禾,禾,16,2,1,1,-297.0
EDGE-00709,劍,僉,刂,刀,16,1,1,0,-88.375
EDGE-02219,卦,圭,卜,卜,16,1,1,0,-438.9375
EDGE-05468,儆,敬,亻,人,16,16,0,0,3267.9375
EDGE-04724,禧,喜,礻,示,16,16,0,0,2989.3125
EDGE-04722,僖,喜,亻,人,16,16,0,0,2899.75
EDGE-01312,忽,勿,心,心,16,16,0,0,2124.5
EDGE-00079,羞,丑,羊,羊,16,16,0,0,2064.1875
EDGE-01128,黜,出,黑,黑,16,16,0,0,1997.6875
EDGE-00063,儐,賓,亻,人,16,16,0,0,1900.5625
EDGE-05192,戢,咠,戈,戈,16,16,0,0,1896.125
EDGE-05472,驚,敬,馬,馬,16,16,0,0,1872.0
EDGE-03494,閔,文,門,門,16,16,0,0,1840.1875
EDGE-02350,稜,夌,禾,禾,16,16,0,0,1817.25
EDGE-03500,忻,斤,忄,心,16,16,0,0,1815.5
EDGE-00612,怍,乍,忄,心,16,16,0,0,1685.4375
EDGE-02822,恃,寺,忄,心,16,16,0,0,1667.125
EDGE-04343,欷,希,欠,欠,16,16,0,0,1666.1875
EDGE-01642,堅,臤,土,土,16,16,0,0,1663.0625
EDGE-00130,抨,平,扌,手,16,16,0,0,1660.625
EDGE-05926,漲,張,氵,水,16,16,0,0,1658.25
EDGE-04058,侮,毎,亻,人,16,16,0,0,1645.875
EDGE-03427,佚,失,亻,人,16,16,0,0,1628.5625
EDGE-04865,知,矢,口,口,16,16,0,0,1620.3125
EDGE-00294,鎚,追,釒,金,16,16,0,0,1614.4375
EDGE-05619,猝,卒,犭,犬,16,16,0,0,1613.625
EDGE-03071,蹩,敝,足,足,16,16,0,0,1596.8125
EDGE-04866,智,知,日,日,16,16,0,0,1544.5625
EDGE-03495,憫,閔,忄,心,16,16,0,0,1542.25
EDGE-02451,狹,夾,犭,犬,16,16,0,0,1503.5625
EDGE-05900,捲,卷,扌,手,16,16,0,0,1486.4375
EDGE-03762,僭,朁,亻,人,16,16,0,0,1479.5625
