rank_by_similarity_above_shuffled,meaning_labeled_component,observed_cross_family_similarity_mean,shuffled_label_similarity_mean,similarity_above_shuffled,phonophore_family_count,models_evaluated,above_shuffled
1,𤤴,0.5572063997387886,0.014066220176973725,0.5431401795618149,3,4,True
2,瓦,0.26285243406891823,0.0022010461554054926,0.2606513879135127,4,4,True
3,豸,0.241468247026205,0.010238185724083436,0.23123006130212156,7,4,True
4,鹵,0.23336950689554212,0.0057516086229588825,0.22761789827258325,3,4,True
5,魚,0.23494883254170412,0.00930145641590567,0.22564737612579844,20,4,True
6,刀,0.23849707841873163,0.012998644998033338,0.2254984334206983,3,4,True
7,鳥,0.22285135090351102,0.008018316555646797,0.21483303434786422,27,4,True
8,老,0.22510121762752533,0.014670672659726719,0.21043054496779862,3,4,True
9,骨,0.19631898775696754,0.012137051308609433,0.18418193644835812,6,4,True
10,鹿,0.17264232784509653,0.006938395795975079,0.16570393204912146,4,4,True
11,皮,0.16999776475131506,0.007598363780416545,0.16239940097089853,3,4,True
12,舟,0.16663863509893412,0.008455083897292732,0.15818355120164138,12,4,True
13,月,0.1634362563490867,0.009320244566756621,0.1541160117823301,4,4,True
14,風,0.1450520362704992,0.012585013733150834,0.13246702253734838,4,4,True
15,音,0.13494261913001535,0.008546649747077022,0.12639596938293832,3,4,True
16,虫,0.135063711553812,0.008981961858516976,0.126081749695295,77,4,True
17,皿,0.1268046237528324,0.008564517497215984,0.11824010625561643,9,4,True
18,目,0.12118656560778612,0.009156376197224701,0.11203018941056142,32,4,True
19,齒,0.11862836405634877,0.008744505776630824,0.10988385827971794,7,4,True
20,㫃,0.11184513755142685,0.008044938293523941,0.1038001992579029,7,4,True
21,冫,0.1107474192976951,0.009050270684501798,0.1016971486131933,6,4,True
22,鬥,0.1085960883647203,0.010078407954897551,0.09851768040982276,3,4,True
23,雨,0.10344151407480236,0.008465991001567058,0.0949755230732353,22,4,True
24,疒,0.1030569765716791,0.00843006300754491,0.09462691356413419,47,4,True
25,白,0.1053992267698049,0.015351474144299555,0.09004775262550535,7,4,True
26,米,0.0974638722836971,0.0074527360274168845,0.09001113625628021,17,4,True
27,衤,0.098103879019618,0.008623691342422673,0.08948018767719533,34,4,True
28,王,0.09676858037710187,0.008650642996603846,0.08811793738049803,45,4,True
29,歹,0.0928250793367624,0.006760842178341576,0.08606423715842082,11,4,True
30,毛,0.09365352801978585,0.00941129348537287,0.08424223453441299,5,4,True
31,竹,0.0889861416071653,0.010017101379780749,0.07896904022738455,61,4,True
32,𧾷,0.0878410637378692,0.008886841933949606,0.07895422180391959,48,4,True
33,艹,0.08613168448209757,0.009059864748851346,0.07707181973324623,151,4,True
34,山,0.08410683833062645,0.009386605548688703,0.07472023278193775,38,4,True
35,手,0.08237139321863647,0.0077156811218082886,0.07465571209682818,7,4,True
36,刂,0.08137972652912133,0.008141073771384951,0.07323865275773637,20,4,True
37,飠,0.08081294968724248,0.008291767411076269,0.07252118227616622,22,4,True
38,車,0.07921833358705038,0.009175793561626011,0.07004254002542437,25,4,True
39,見,0.07736750505864615,0.007326799954280427,0.07004070510436572,4,4,True
40,礻,0.07900208979845043,0.009117815579036199,0.06988427421941423,20,4,True
41,髟,0.0760682541877031,0.0070050557168815294,0.06906319847082157,11,4,True
42,子,0.08179160859435793,0.013104795990839177,0.06868681260351875,6,4,True
43,鬼,0.07718606665730472,0.008823347712896052,0.06836271894440867,9,4,True
44,巾,0.0763938324525952,0.008452960525323724,0.06794087192727148,22,4,True
45,火,0.07720752619206903,0.009476942613364327,0.0677305835787047,35,4,True
46,衣,0.07774361595511435,0.010105974389321072,0.06763764156579327,11,4,True
47,革,0.07608353812247509,0.010158841487582298,0.0659246966348928,13,4,True
48,肉,0.0744004156440496,0.009264805864731846,0.06513560977931776,70,4,True
49,馬,0.073648739606142,0.009098260013272425,0.06455047959286958,35,4,True
50,忄,0.07283641025424,0.00927425431487786,0.06356215593936214,80,4,True
51,釒,0.07105673104524607,0.009181192094401875,0.061875538950844196,86,4,True
52,木,0.07015568204224107,0.008682114935363595,0.06147356710687747,140,4,True
53,石,0.06867035105824465,0.009708275408702276,0.058962075649542374,39,4,True
54,田,0.06825027428567405,0.009330779196206982,0.058919495089467075,10,4,True
55,貝,0.0662665385752916,0.008644234063503934,0.057622304511787674,29,4,True
56,口,0.06581309530884023,0.009083607429056381,0.05672948787978385,114,4,True
57,酉,0.0617479477077722,0.008887259482776213,0.05286068822499598,20,4,True
58,糸,0.061890073120594004,0.009040868960437315,0.05284920416015669,98,4,True
59,日,0.05962247587740417,0.00852684907102225,0.051095626806381925,43,4,True
60,耳,0.05906295403838155,0.008254903557690336,0.050808050480691216,6,4,True
61,氵,0.05967328324913975,0.009260772275156292,0.05041251097398346,186,4,True
62,扌,0.05818746052682398,0.009348443530034223,0.048839016996789754,139,4,True
63,囗,0.05618176143616435,0.008194988505201745,0.04798677293096261,10,4,True
64,心,0.05154056567698712,0.0095848601344539,0.04195570554253322,44,4,True
65,辶,0.05053746234625575,0.009438434511121115,0.04109902783513464,52,4,True
66,彳,0.048777581192553,0.008252468377258971,0.04052511281529403,14,4,True
67,土,0.04847064334899185,0.008309328365212372,0.04016131498377948,66,4,True
68,黑,0.048628512769937474,0.00856960468443502,0.040058908085502457,10,4,True
69,斤,0.047750949393957826,0.010687014456489117,0.03706393493746871,4,4,True
70,力,0.045851968228816924,0.010667316117860502,0.03518465211095642,16,4,True
71,戈,0.046186085790395695,0.011956654116438575,0.03422943167395712,6,4,True
72,匚,0.04425264638848597,0.010619516148217361,0.03363313024026861,5,4,True
73,女,0.041802565567195374,0.008761959264229466,0.03304060630296591,69,4,True
74,羊,0.0407705795951187,0.007839153466193231,0.03293142612892547,3,4,True
75,犭,0.0424969512969255,0.009774387234767763,0.03272256406215774,28,4,True
76,宀,0.042640428058803026,0.010040552972982333,0.03259987508582069,20,4,True
77,犬,0.032190551515668575,0.00041911037936188424,0.03177144113630669,4,4,True
78,广,0.04068134818226092,0.009141958601812767,0.031539389580448156,25,4,True
79,言,0.03909030184149737,0.00940574485779502,0.029684556983702353,96,4,True
80,身,0.04320509219542145,0.014281803148005562,0.02892328904741589,3,4,True
81,弓,0.03728091390803452,0.010277999528885834,0.027002914379148688,9,4,True
82,耒,0.03306132205761965,0.006256620414908406,0.026804701642711242,6,4,True
83,禾,0.0367926694452762,0.01021920525043238,0.02657346419484382,25,4,True
84,羽,0.032527728937566225,0.006481062952170741,0.026046665985395484,14,4,True
85,門,0.03440481424331662,0.009427353199225726,0.024977461044090897,20,4,True
86,牜,0.03313405252993103,0.008173911614394439,0.02496014091553659,10,4,True
87,阝,0.033606082666665274,0.009012749698958895,0.02459333296770638,48,4,True
88,彡,0.0326946970308199,0.010066470717711115,0.022628226313108783,6,4,True
89,攵,0.0311822234652936,0.008775702810135302,0.0224065206551583,14,4,True
90,穴,0.03198953298851843,0.010485114621687865,0.021504418366830563,17,4,True
91,頁,0.02845816593617195,0.008724830244145736,0.019733335692026212,28,4,True
92,大,0.026412343257106823,0.00668514974899153,0.019727193508115293,4,4,True
93,勹,0.029940406093373853,0.012479595023305591,0.017460811070068263,3,4,True
94,矢,0.03076718235388395,0.013811858858825863,0.016955323495058086,4,4,True
95,水,0.028287688503041825,0.01209352127691999,0.016194167226121835,4,4,True
96,走,0.0238360203802585,0.010167204932549778,0.013668815447708723,8,4,True
97,一,0.014665733033325525,0.003318777952226813,0.011346955081098712,3,4,True
98,䖵,0.0242566270753741,0.014212135955967818,0.010044491119406281,3,4,True
99,斗,0.014870804778183824,0.0057981759303640905,0.009072628847819734,5,4,True
100,隹,0.015228804433718275,0.008602007171830314,0.006626797261887961,11,4,True
101,尸,0.01439340040087695,0.007814753320421905,0.006578647080455045,7,4,True
102,欠,0.016171867027878727,0.009691436407692867,0.00648043062018586,14,4,True
103,示,0.01182636601151895,0.008468112340033251,0.003358253671485699,5,4,True
104,食,0.015901089180260876,0.013381012426918906,0.00252007675334197,4,4,True
105,行,0.009266454115277125,0.0114700599057869,-0.002203605790509775,5,4,False
106,亻,0.005548985325731275,0.009510902087786186,-0.003961916762054912,127,4,False
107,立,-0.0023061036263243248,0.012969620057519924,-0.015275723683844248,4,4,False
